ADEPT 2001,
"","admission for CHF, non-fatal MI, or non-fatal stroke; CV death, hospital admission for"
"","CHF, non-fatal MI, non-fatal stroke, or coronary revascularization; all-cause mortality"
"",or hospital admission for CHF; development of new diabetes
CHARM-Preserved 2003,
Methods,"Multinational, multicenter, prospective DBRCT"
"",Follow-up: 36.6 mos (median)
"",Background ACEI? No
Participants,"N=2548 patients ≥18 years of age with symptomatic CHF, due to IHD (56.5%), idio-"
"","pathic (8.7%), hypertensive cause (22.7%), or other cause (12.1%), and had history of"
"","hospital admission for cardiac reason, and LVEF >40%"
"",Mean age: 67.2 y
"",Females: 40.1%
"",Race (white/black/other): 92%/4%/4%
"",NYHA Class: II-IV
"",LVEF: >40%
Interventions,"Candesartan, target dose 32 mg OD (n=1514)"
"",Placebo (n=1509)
Outcomes,Primary: CV death or unplanned admission to hospital for management of worsening
"",CHF
"","Secondary: CV death, hospital admission for CHF, or non-fatal MI; CV death, hospital"
"","admission for CHF, non-fatal MI, or non-fatal stroke; CV death, hospital admission for"
"","CHF, non-fatal MI, non-fatal stroke, or coronary revascularization; all-cause mortality"
"",or hospital admission for CHF; development of new diabetes
ELITE II 2000,
Methods,"Multicenter, prospective DBRCT conducted in 46 countries"
"",Follow-up: 1.5 y (median)
"",Background ACEI? No
Participants,"N=3152 patients ≥60 years of age with symptomatic HF, due to IHD (79%) or non-"
"","ischemic heart disease (21%), and most patients were to be ACEI and ARB naive. Some"
"",patients were eligible if ACEI or ARB treatment had been recently started and exposure
"",period was ≤7 days
"",Mean age: 71.5 y
"",Females: 30.5%
"",Race (white/black/asian/other): 82%/2%/5%/11%
"",NYHA Class: II-IV
"",LVEF: ≤40%
Interventions,"Losartan, target dose 50 mg OD (n=1578)"
"","Captopril, target dose 50 mg TID (n=1574)"
Outcomes,"Primary: All-cause mortality (classified as sudden cardiac death, progressive heart failure,"
"","fatal myocardial infarction, stroke, other cardiac causes, other vascular disease, non-"
"",cardiovascular causes)
"",Secondary: Composite of death and/or hospital admission for heart failure; total mor-
"",tality; admission for heart failure; NYHA class; admission for MI or unstable angina
HEAVEN 2002,
Methods,"Multicenter, prospective DBRCT in Sweden"
"",Follow-up: 12 wks
"",Background ACEI? Yes
Participants,"N=141 patients ≥18 years of age with symptomatic CHF, due to IHD (61%) or non-"
"","ischemic heart disease (39%), stabilized on an ACEI for ≥3 mos and able to perform 6-"
"",minute walk test
"",Mean age: 67.5 y
"",Females: 25.5%
"",NYHA Class: II-III
"",LVEF: ≤45%
Interventions,Valsartan 160 mg OD (n=70)
"",Enalapril 5 mg BID (n=71)
Outcomes,Primary: exercise capacity (6-minute walk test)
"",Secondary: QoL (Minnesota Living with Heart Failure Questionnaire); LVEF; dyspnea-
"",fatigue index score; left ventricular end diastolic diameter
I-PRESERVE 2008,
Methods,"Multinational, multicenter, prospective DBRCT"
"",Follow-up: 49.5 mos
"","Background ACEI? Yes, but only if considered essential for indication other than un-"
"",complicated hypertension
Participants,"N=4128 patients ≥60 years of age with stable symptomatic CHF, primarily due to IHD"
"","(25%) or hypertension (64%), with EF ≥45%"
"",Mean age: 72 y
"",Females: 60%
"",Race (white/black/asian/other): 93%/2%/1%/4%
"",NYHA Class: II-IV
"",LVEF: ≥45%
Interventions,"Irbesartan, target dose 300 mg OD (n=2067)"
"",Placebo (n=2061)
Outcomes,"Primary: Composite of total mortality or CV hospitalisation (worsening HF, MI, stroke,"
"","unstable angina, ventricular or atrial dysrhythmia, or MI or stroke that occurred during"
"",any hospitalisation)
"",Secondary: Total mortality; CV hospitalisation; composite of death due to worsening
"",HF or sudden death or hospitalisation due to worsening HF; QoL; composite of CV
"","mortality, non-fatal MI, or non-fatal stroke; CV mortality"
Mitrovic 2003,
Methods,"Multicenter, prospective DBRCT in Europe and South Africa"
"",Follow-up: 12 wks
"",Background ACEI? No
Participants,N=218 patients aged 18-75 years with symptomatic CHF (principal causes were coronary
"",heart disease and/or cardiomyopathy) and pulmonary capillary wedge pressure ≥13 mm
"",Hg at baseline
"",Mean age: 54.0 y
"",Females: 14.7%
"",Race: All white
"",NYHA Class: II-III
"",LVEF: ≤40%
Interventions,Candesartan 2 mg OD (n=45)
"",Candesartan 4 mg OD (n=46)
"",Candesartan 8 mg OD (n=39)
"",Candesartan 16 mg OD (n=44)
"",Placebo (n=44)
Outcomes,Primary: pulmonary capillary wedge pressure; systemic vascular resistance; cardiac index
"",Secondary: pulmonary arterial pressure; mean right arterial pressure; mean arterial blood
"","pressure; heart rate; neurohormones; symptom scores for breathlessness, fatigue and ankle"
"",swelling; physicians’ overall efficacy score; NYHA classification; QoL using validated
"",measure of subjective health status SF-36 questionnaire
REPLACE 2001,
Methods,"Multicenter, prospective DBRCT in Europe"
"",Follow-up: 12 wks
"",Background ACEI? No
Participants,"N=378 patients ≥21 years of age with stable symptomatic CHF, primarily due to IHD"
"","(78%), already taking diuretic plus ACEI (enalapril 10 mg BID), with or without digoxin"
"",Mean age: 64 y
"",Females: 11%
"",NYHA Class: II-III
"",LVEF: ≤40%
Interventions,Telmisartan 10 mg OD (n=75)
"",Telmisartan 20 mg OD (n=72)
"",Telmisartan 40 mg OD (n=77)
"",Telmisartan 80 mg OD (n=77)
"",Enalapril 10 mg BID (n=77)
Outcomes,Primary: Change from baseline in bicycle exercise duration
"",Secondary: LVEF; QoL; BP; neurohormonal changes; NYHA classification
"Sharma 2000, III-Int’l",,,,,,
Methods,"Multicenter, prospective DBRCT",,,,,
"",Follow-up: 12 wks,,,,,
"",Background ACEI? No,,,,,
Participants,N=385 patients with symptomatic CHF,who,had never,received ACEI or who,,had
"",discounted ACEI for ≥12 wks,,,,,
"",Mean age: 60.3 y,,,,,
"",Females: 30%,,,,,
"",Race (white/hispanic/black/other): 59%/31%/5%/5%,,,,,
"",NYHA Class: II-IV,,,,,
"",LVEF: ≤40%,,,,,
Interventions,"Losartan, target dose 50 mg (n=254)",,,,,
"",Placebo (n=131),,,,,
Outcomes,Primary: Exercise capacity (maximal treadmill exercise time),,,,,
"Sharma 2000, III-US",,,,,
Methods,"Multicenter, prospective DBRCT in US",,,,
"",Follow-up: 12 wks,,,,
"",Background ACEI? No,,,,
Participants,N=351 patients with symptomatic CHF who,had never,received ACEI or who,,had
"",discounted ACEI for ≥6 wks,,,,
"",Mean age: 65.0 y,,,,
"",Females: 33%,,,,
"",Race (white/hispanic/black/other): 83%/1%/15%/1%,,,,
"",NYHA Class: II-IV,,,,
"",LVEF: ≤40%,,,,
Interventions,"Losartan, target dose 50 mg (n=237)",,,,
"",Placebo (n=114),,,,
Outcomes,Primary: Exercise capacity (maximal treadmill exercise time),,,,
SPICE 2000,
Methods,"Multinational, multicenter, prospective DBRCT"
"",Follow-up: 12 wks
"",Background ACEI? No
Participants,"N=768 patients with symptomatic CHF, due to IHD (71.5%), idiopathic dilated car-"
"","diomyopathy (15.9%), or other cause (12.6%), and history of discontinuing ACEI be-"
"",cause of intolerance
"",Mean age: 65.7 y
"",Females: 31.1%
"",NYHA Class: II-IV
"",LVEF: <35%
Interventions,"Candesartan, target dose 16 mg OD (n=179)"
"",Placebo (n=91)
Outcomes,"Primary: Tolerability, defined as % of randomised population completing 12-wk DB"
"","treatment period with candesartan 4, 8 or 16 mg"
"","Secondary: NYHA functional class; 6-minute walk test; QoL, laboratory tests"
Tonkon 2000,
Methods,"Multicenter, prospective DBRCT conducted in US"
"",Follow-up: 12 wks
"",Background ACEI? Yes
Participants,"N=109 patients ≥18 years of age with stable symptomatic CHF, due to IHD (53%),"
"","idiopathic (40%), or other cause (7%), who were already receiving stable doses of ACEI"
"",(≥6 wks) and diuretics (≥2 wks) before and throughout study
"",Mean age: 63.9 y
"",Females: 23.9%
"",Race (white/black/other): 82%/12%/6%
"",NYHA Class: II-III
"",LVEF: ≤40%
Interventions,"Irbesartan, target dose 150 mg OD (n=57)"
"",Placebo (n=52)
Outcomes,Primary: Symptom-limited exercise tolerance time
"",Secondary: NYHA functional class; LVEF
Val-HeFT 2001,
Methods,"Multinational, multicenter, prospective DBRCT"
"",Follow-up: 23 mos
"",Background ACEI? Yes
Participants,"N=5010 patients≥18 years of age with stable symptomatic HF, primarily due to coronary"
"","heart disease (57%), idiopathic (31%), hypertension (7%), or other cause (5%), and"
"","had to have been receiving for ≥2 wks a fixed-dose regimen that could include ACEI,"
"","diuretics, digoxin, and beta-blockers"
"",Mean age: 62.7 y
"",Females: 20.1%
"",Race (white/black/other): 90%/7%/3%
"",NYHA Class: II-IV
"",LVEF: <40%
Interventions,Valsartan 160 mg BID (n=2511)
"",Placebo (n=2499)
Outcomes,"Primary: Mortality; combined end point of mortality and morbidity, which was defined"
"","as cardiac arrest with resuscitation, hospitalisation for heart failure, or administration of"
"",intravenous inotropic or vasodilator drugs for 4 hours or more without hospitalisation
"",Secondary: Change from baseline in LVEF; NYHA functional classification; QoL; signs
"",and symptoms of heart failure
