91 ||| Baseline characteristics ||| 5.18 ||| After several seconds grade 3 TIMI flow was restored.,grade 3 timi flow restored,C0441800|G0000000|G0000000|C0806140|G0000000
140 ||| Limitations ||| 7.11 ||| A major limitation of our study was that our patient numbers were limited out of concern for the risk of the complication of coronary artery obstruction.,major limitation study patient limited concern risk complication coronary artery obstruction,C0205082|C0449295|C0557651|C0030705|C0439801|C2699424|C0035647|C0009566|C0018787|C0003842|C0028778
"26 ||| Introduction ||| 1.17 ||| Cell counts were performed, and the cells at 4 °C were delivered to the catheterization laboratory.",cell counts performed cells 4 delivered catheterization laboratory,C0007634|C0439157|C0884358|C0007634|G0000000|C1705822|C0007430|C0022877
"78 ||| Baseline characteristics ||| 5.5 ||| Moreover, the number of BMSCs at P2 was significantly negatively associated with the number of coronary artery disease-vessels (r = − 0.596, P = 0.004) and the area of the myocardial defect (r = − 0.609, P = 0.003).",bmscs p2 negatively coronary artery disease-vessels = 0 596 = 0 004 myocardial defect = 0 609 = 0 003,G0000000|C0332132|G0000000|C0018787|C0003842|C0012634|G0000000|G0000000|C1442061|G0000000|G0000000|C1442061|C0027061|C1457869|G0000000|G0000000|C1442061|G0000000|G0000000|C1442061
"129 ||| Discussion ||| 6.20 ||| Our study provides the first evidence of this adverse response, although such accident happened in a single case in our trial, it is a lifethreatening complication deserving more attention before clinical application.",study evidence adverse response accident happened single trial lifethreatening complication deserving attention clinical application,C0557651|C3887511|G0000000|C0871261|C0000924|C1709305|C0037179|C0008976|C1517874|C0009566|G0000000|C0004268|C0205210|C0185125
"70 ||| Study design ||| 3.19 ||| Categorical variables were compared by chi-square test or Fisher's exact test, as appropriate.",categorical variables compared chi-square test fishers exact test,C0683312|C0439828|C1707455|C1552646|C0022885|C0325045|C2828393|C0022885
120 ||| Discussion ||| 6.11 ||| Clinical impact of delivery time of BMSCs,clinical impact delivery time bmscs,C0205210|C1825598|C0011209|C0040223|G0000000
97 ||| Baseline characteristics ||| 5.24 ||| 99mTc-sestamibi perfusion imaging studies in the BMSCs and the control groups were similar at baseline for the amount of total defect area (p = 0.459).,99mtc-sestamibi perfusion imaging studies bmscs control baseline amount total defect = 0 459,C1337333|C0031001|C0011923|C0947630|G0000000|C0243148|C0168634|C1265611|C0439175|C1457869|G0000000|G0000000|C1442061
2 |||  ||| 0.2 ||| Emerging evidence suggested that both the number and function of BMSCs decline with ageing.,emerging evidence suggested function bmscs decline ageing,G0000000|C3887511|C1705535|C0031843|G0000000|G0000000|C0001811
85 ||| Baseline characteristics ||| 5.12 ||| Another patient suffered a serious complication of acute coronary artery occlusion in the cell infused vessel during intracoronary BMSCs injection.,patient suffered complication acute coronary artery occlusion cell infused vessel intracoronary bmscs injection,C0030705|C0683278|C0009566|C0205178|C0018787|C0003842|C0011382|C0007634|G0000000|C0005847|C0595454|G0000000|C0021485
61 ||| Study design ||| 3.10 ||| The protocol of BMSCs preparation was approved by the Chinese State Food and Drug Administration.,protocol bmscs preparation approved chinese food drug administration,C0442711|G0000000|C1521827|C0205540|C0008120|C0016452|C0013227|C0001554
"45 ||| Methods ||| 2.10 ||| Non-gated SPECT was performed 1-1.5 h later using a dual head large-field of-view 5/8-inch crystal SPECT camera (Varicam, GE-Elscint, Haifa, Israel).",non-gated spect performed 1-1 5 dual head large-field of-view 5/8-inch crystal spect camera varicam ge-elscint haifa israel,C1518422|C0040399|C0884358|G0000000|G0000000|C1554184|C0018670|C0549177|C0449911|C0439204|C0427896|C0040399|C0179533|G0000000|C1292300|G0000000|C0022271
114 ||| Discussion ||| 6.5 ||| All solutions were prepared using GMP quality and all procedures were performed under GLP conditions.,solutions prepared gmp quality procedures performed glp conditions,C0037633|C4082130|C0018346|C0332306|C0025664|C0884358|C0018301|C0012634
"83 ||| Baseline characteristics ||| 5.10 ||| Periprocedural complications: In the BMSCs group, one patient died suddenly 3 days after the procedure.",periprocedural complications bmscs patient died suddenly 3 days procedure,G0000000|C0009566|G0000000|C0030705|C0011065|G0000000|G0000000|C0439228|C0184661
73 ||| Study design ||| 3.22 ||| All analyses were performed with SPSS 17.0 software.,analyses performed spss 17 0 software,C0002778|C0884358|C3813609|C0450371|G0000000|C0037585
"28 ||| Introduction ||| 1.19 ||| BMSCs were stained with saturating amounts of monoclonal antibodies conjugated with fluorescein isothiocyanate for CD44, CD70, CD90, CD105, CD31, CD34, and CD45, testing procedures for mycoplasma, sterility, endotoxin, identity, and purity were consistent with the International Society for Cellular Therapy (ISCT) criteria [28].",bmscs stained saturating amounts monoclonal antibodies conjugated fluorescein isothiocyanate cd44 cd70 cd90 cd105 cd31 cd34 cd45 testing procedures mycoplasma sterility endotoxin identity purity consistent international society cellular therapy isct criteria 28,G0000000|C2986582|C0522534|C1265611|C0746619|C0003241|C0522529|C0060520|C0124209|G0000000|G0000000|G0000000|G0000000|G0000000|G0000000|G0000000|C0039593|C0025664|C0026934|C0021359|C0014264|C0424215|C1882508|C0332290|C1512888|C0037455|C0007634|C0039798|G0000000|C0243161|C0450371
132 ||| Limitations ||| 7.3 ||| Preclinical studies have not been able to verify the safety of intracoronary injection because of observations that adherent MSCs may aggregate within the microvessels and impair blood flow to the heart [24][25][26].,preclinical studies verify safety intracoronary injection observations adherent mscs aggregate microvessels impair blood flow heart 242526,C1709630|C0947630|C1711411|C0036043|C0595454|C0021485|C0302523|C0334154|C2248778|C0205418|C2350570|G0000000|C0005767|C0806140|C0018787|G0000000
"133 ||| Limitations ||| 7.4 ||| Despite these safety concerns, three clinical studies have used the intracoronary ejection of MSCs in patients with myocardial infarction [17,18,32].",safety concerns clinical studies intracoronary ejection mscs patients myocardial infarction 17 18 32,C0036043|C2699424|C0205210|C0947630|C0595454|C0302131|C2248778|C0030705|C0027061|C0021308|C0450371|C0450371|C0450371
"77 ||| Baseline characteristics ||| 5.4 ||| However, importantly, as shown in Fig.",importantly fig,G0000000|C0349966
1 |||  ||| 0.1 ||| Background: Previous studies showed improvement in heart function by injecting bone marrow mesenchymal stem cells (BMSCs) after AMI.,background previous studies improvement heart function injecting bone marrow mesenchymal stem cells bmscs ami,C1706907|C0205156|C0947630|C2986411|C0018787|C0031843|C1720154|C0262950|C0086590|C1513143|C0242767|C0007634|G0000000|G0000000
14 ||| Introduction ||| 1.5 ||| Our previous study also demonstrated the transcription factors responsible for cardiomyogenic commitment of MSCs alike to those active during fetal cardiomyocyte development in vitro and vivo [12].,previous study demonstrated transcription factors responsible cardiomyogenic commitment mscs alike active fetal cardiomyocyte development vitro vivo 12,C0205156|C0557651|G0000000|C0040649|C1521761|C1273518|G0000000|C0870312|C2248778|G0000000|C0205177|C0015965|C0225828|C0243107|C1533691|C1515655|C0450371
"135 ||| Limitations ||| 7.6 ||| However, there was no mention of any potential reduction in blood flow and any cell-related complications during [17].",mention potential reduction blood flow cell-related complications 17,G0000000|C3245505|C0301630|C0005767|C0806140|C0007634|C0009566|C0450371
139 ||| Limitations ||| 7.10 ||| In this regard it should be noted that MSCs (≈22-25 μm diameter) are larger than capillaries (8-10 um) and also less deformable than BM-MNCs (8-12 um),regard mscs 22-25 diameter larger capillaries 8-10 um deformable bm-mncs 8-12 um,G0000000|C2248778|C0450371|C1301886|C0549177|C0006901|C0450371|G0000000|C0678559|C0006416|C0450371|G0000000
101 ||| Baseline characteristics ||| 5.28 ||| Effects of BMSCs on myocardial viability,effects bmscs myocardial viability,C1280500|G0000000|C0027061|C0443348
"11 ||| Introduction ||| 1.2 ||| Therefore, It is still a debatable issue concerning the optimal stem cell type [6,7].",debatable issue optimal stem cell type 6 7,G0000000|C0033213|C2698651|C0242767|C0007634|C0332307|G0000000|G0000000
"56 ||| Study design ||| 3.5 ||| Secondary endpoints were the incidence of cardiovascular events, total mortality and adverse events at 12 and 24 months' follow-up.",secondary endpoints incidence cardiovascular events total mortality adverse events 12 24 months follow-up,C0027627|C2349179|C0021149|C0007226|C0441471|C0439175|C0026565|G0000000|C0441471|C0450371|C0450371|C0439231|C0589120
96 ||| Baseline characteristics ||| 5.23 ||| Effects of BMSCs administration on myocardial perfusion,effects bmscs administration myocardial perfusion,C1280500|G0000000|C0001554|C0027061|C0031001
"104 ||| Baseline characteristics ||| 5.31 ||| Of the 2 remaining patients, 1 died and 1 was lost to 12 and 24 months follow-up in the BMSCs group, while 2 were lost to 12 and 24 months follow-up in the control group.",2 remaining patients 1 died 1 lost 12 24 months follow-up bmscs 2 lost 12 24 months follow-up control,G0000000|C1527428|C0030705|G0000000|C0011065|G0000000|C0745777|C0450371|C0450371|C0439231|C0589120|G0000000|G0000000|C0745777|C0450371|C0450371|C0439231|C0589120|C0243148
"25 ||| Introduction ||| 1.16 ||| Cells were washed, and viability was tested by trypan blue exclusion.",cells washed viability tested trypan blue exclusion,C0007634|C1548982|C0443348|C0392366|C1565627|C1260957|C0680251
"34 ||| Introduction ||| 1.25 ||| We defined complication of coronary artery obstruction as TIMI grade O-1, which no anterograde flow of contrast medium is detected beyond the point of occluded vessel, or anterograde flow fails to opacify the diatal portion of vessel.",defined complication coronary artery obstruction timi grade o-1 anterograde flow contrast medium detected occluded vessel anterograde flow fails opacify diatal portion vessel,C1704788|C0009566|C0018787|C0003842|C0028778|G0000000|C0441800|C0483204|C0589502|C0806140|C0009924|C0009458|C0442726|C0028778|C0005847|C0589502|C0806140|C0231175|G0000000|G0000000|C0449719|C0005847
100 ||| Baseline characteristics ||| 5.27 ||| Effects of BMSCs administration on heart function,effects bmscs administration heart function,C1280500|G0000000|C0001554|C0018787|C0031843
"136 ||| Limitations ||| 7.7 ||| In our trial, we noted for the first time that intracoronary infusion of MSCs was involved in acute coronary artery occlusion and subsequent no-flow in a large coronary artery in a single case.",trial time intracoronary infusion mscs involved acute coronary artery occlusion subsequent no-flow coronary artery single,C0008976|C0040223|C0595454|C0574032|C2248778|C1314939|C0205178|C0018787|C0003842|C0011382|C0332282|C1882092|C0018787|C0003842|C0037179
103 ||| Baseline characteristics ||| 5.30 ||| As shown in Fig.,fig,C0349966
95 ||| Baseline characteristics ||| 5.22 ||| These outcomes did not differ significantly (P = 0.237) when the average intensities of F-18-FDG SPECT between the two groups were compared.,outcomes = 0 237 average intensities f-18-fdg spect compared,C1274040|G0000000|G0000000|C1442061|C1510992|C0522510|C0016327|C0040399|C1707455
68 ||| Study design ||| 3.17 ||| Comparisons between BMSC group and control group were analyzed with the Student t-tests.,comparisons bmsc control analyzed student t-tests,C1707455|G0000000|C0243148|C0936012|C0038492|C0871472
"99 ||| Baseline characteristics ||| 5.26 ||| But these outcomes did not differ significantly between the two groups (4.4 ± 0.5% 95%CI 3.2-5.5 in BMSC group vs. 3.9 ± 0.6% 95%CI 2.6-5.2 in control group, P = 0.594) as shown in Fig.",outcomes 4 4 0 5% 95%ci 3 2-5 5 bmsc 3 9 0 6% 95%ci 2 6-5 2 control = 0 594 fig,C1274040|G0000000|G0000000|G0000000|G0000000|C0450371|G0000000|G0000000|G0000000|G0000000|G0000000|G0000000|G0000000|G0000000|C0450371|G0000000|G0000000|G0000000|C0243148|G0000000|G0000000|C1442061|C0349966
"31 ||| Introduction ||| 1.22 ||| After undergoing arterial puncture, all patients received 8000U of heparin, and cells were infused with the use of a stop-flow technique through an over-the wire balloon catheter positioned within the segment containing the stent, as we described previously [29].",undergoing arterial puncture patients received 8000u heparin cells infused stop-flow technique over-the wire balloon catheter positioned segment stent 29,G0000000|C0003842|C0033119|C0030705|C1514756|G0000000|C0019134|C0007634|G0000000|C1947925|C0449851|C0205136|C0005978|C0336867|C0085590|C0733755|C0441635|C0038257|C0450371
"75 ||| Baseline characteristics ||| 5.2 ||| The cultured cells were plastic-adherent, spindle-shaped, and positive for CD90, CD105, CD44, and CD70.",cultured cells plastic-adherent spindle-shaped positive cd90 cd105 cd44 cd70,C0010453|C0007634|C0032167|C1166795|C0439178|G0000000|G0000000|G0000000|G0000000
64 ||| Study design ||| 3.13 ||| All patients received optimum postinfarction medical treatment.,patients received optimum postinfarction medical treatment,C0030705|C1514756|C2698651|G0000000|C0199168|C0039798
"128 ||| Discussion ||| 6.19 ||| The culture of BMSCs in this patient was exceptionally prolonged [up to 22 days] because of low numbers yield of BMSCs in 0 passage, so that the diameter of his MSCs was larger than that of other patients'.",culture bmscs patient exceptionally prolonged 22 days low yield bmscs 0 passage diameter mscs larger patients,C0010453|G0000000|C0030705|G0000000|C0439590|C0450371|C0439228|C0205251|G0000000|G0000000|G0000000|C0439799|C1301886|C2248778|C0549177|C0030705
23 ||| Introduction ||| 1.14 ||| The culture medium was changed every 3-4 days until colonies were formed.,culture medium changed 3-4 days colonies formed,C0010453|C0009458|C0392747|G0000000|C0439228|C0439158|C0205431
"109 ||| Baseline characteristics ||| 5.36 ||| Moreover, end-diastolic volume and end-systolic volumes also did not differ significantly between the two groups at 6, 12 and 24 months (P > 0.05, respectively) ( Table 3).",end-diastolic volume end-systolic volumes 6 12 24 months 0 05 table 3,C0442709|C0449468|C0489485|C0449468|G0000000|C0450371|C0450371|C0439231|G0000000|C0450371|C0039224|G0000000
"8 |||  ||| 0.8 ||| In the BMSCs group, one patient suffered a serious complication of coronary artery occlusion during the BMSCs injection procedure.",bmscs patient suffered complication coronary artery occlusion bmscs injection procedure,G0000000|C0030705|C0683278|C0009566|C0018787|C0003842|C0011382|G0000000|C0021485|C0184661
"110 ||| Discussion ||| 6.1 ||| In this randomized multicenter trial in STEMI patients results demonstrated that intracoronary treatment with BMSCs improves myocardial viability but under the dosage and timing conditions used in this study, does not appear to result in significant reduction of infarct size and improvement of myocardial function, as compared with the control group.",randomized multicenter trial stemi patients demonstrated intracoronary treatment bmscs improves myocardial viability dosage timing conditions study result reduction infarct size improvement myocardial function compared control,C0034656|C0439743|C0008976|C3538872|C0030705|G0000000|C0595454|C0039798|G0000000|C0184511|C0027061|C0443348|C0178602|C0449243|C0012634|C0557651|C1274040|C0301630|C0021308|C0456389|C2986411|C0027061|C0031843|C1707455|C0243148
"113 ||| Discussion ||| 6.4 ||| In our study, BMSCs were purified following International Conference on Harmonization and US Food and Drug Administration regulatory guidelines.",study bmscs purified international conference harmonization food drug administration regulatory guidelines,C0557651|G0000000|C1998793|C1512888|C0086047|G0000000|C0016452|C0013227|C0001554|C0220905|C0162791
54 ||| Study design ||| 3.3 ||| End points,NULL,NULL
"19 ||| Introduction ||| 1.10 ||| Thus, evidence of safety and efficacy based on these studies remain largely undemonstrated in a human clinical setting.",evidence safety efficacy based studies remain undemonstrated human clinical setting,C3887511|C0036043|C1280519|C1527178|C0947630|G0000000|G0000000|C0086418|C0205210|C0542559
"144 ||| Limitations ||| 7.15 ||| However, with respect to the value of this study that we honestly report the insignificant findings from such a promising research field of stem cell therapy, lack of CE-MRI should not be weighed too much.",respect study honestly report insignificant findings promising field stem cell therapy lack ce-mri weighed,C0679133|C0557651|G0000000|C0684224|G0000000|C2607943|C1555307|C0440042|C0242767|C0007634|C0039798|C0332268|C0038088|G0000000
71 ||| Study design ||| 3.20 ||| Pearson and Spearman correlations analysis were performed to identify correlations between the number of P2 MSCs and heart function and coronary artery disease.,pearson spearman correlations analysis performed identify correlations p2 mscs heart function coronary artery disease,G0000000|G0000000|C1707520|C0002778|C0884358|G0000000|C1707520|C0332132|C2248778|C0018787|C0031843|C0018787|C0003842|C0012634
"107 ||| Baseline characteristics ||| 5.34 ||| The absolute changes in global LVEF did not differ significantly between the two groups at 6 months (P = 0.356 and 0.643), 12 months (4.5 ± 0.7% 95%CI 3.0-6.1 vs. 3.2 ± 0.7% 95%CI 1.7-4.6, P = 0.182), and 24 months (LVEF: 3.5 ± 0.7% 95%CI 2.0-4.9 vs. 4.3 ± 0.7% 95%CI 2.8-5.8, P = 0.379) as shown in Table 3.",absolute global lvef 6 months = 0 356 0 643 12 months 4 5 0 7% 95%ci 3 0-6 1 3 2 0 7% 95%ci 1 7-4 6 = 0 182 24 months lvef 3 5 0 7% 95%ci 2 0-4 9 4 3 0 7% 95%ci 2 8-5 8 = 0 379 table 3,C0205344|C0205246|C0428772|G0000000|C0439231|G0000000|G0000000|C1442061|G0000000|C1442061|C0450371|C0439231|G0000000|G0000000|G0000000|G0000000|C0450371|G0000000|G0000000|G0000000|G0000000|G0000000|G0000000|G0000000|C0450371|G0000000|G0000000|G0000000|G0000000|G0000000|C1442061|C0450371|C0439231|C0428772|G0000000|G0000000|G0000000|G0000000|C0450371|G0000000|G0000000|G0000000|G0000000|G0000000|G0000000|G0000000|C0450371|G0000000|G0000000|G0000000|G0000000|G0000000|C1442061|C0039224|G0000000
"13 ||| Introduction ||| 1.4 ||| There were many reports that MSCs have a highly plastic differentiation potential that includes endothelial, cardiomyocyte, and neovascular differentiation [9][10][11].",reports mscs highly plastic differentiation potential includes endothelial cardiomyocyte neovascular differentiation 91011,C0684224|C2248778|C0205250|C0032167|C0007589|C3245505|C0332257|C0014257|C0225828|C4068891|C0007589|G0000000
"118 ||| Discussion ||| 6.9 ||| This finding gives us a clue to our conflicting results with previous studies [17,18] that the disease of AMI and age can impact the quality of BMSCs of its purity, identity and potency to take effects that is in accord with recent reports [19][20][21][22][23]30].",finding clue conflicting previous studies 17 18 disease ami age impact quality bmscs purity identity potency effects accord reports 192021222330,C0037088|G0000000|C0009671|C0205156|C0947630|C0450371|C0450371|C0012634|G0000000|C0001779|C1825598|C0332306|G0000000|C1882508|C0424215|C3245505|C1280500|C0680240|C0684224|G0000000
134 ||| Limitations ||| 7.5 ||| Chen and colleagues administered very high concentrations of MSCs by the intracoronary route in patients with AMI.,chen colleagues administered concentrations mscs intracoronary route patients ami,C0999213|G0000000|C1521801|C0086045|C2248778|C0595454|C0013153|C0030705|G0000000
"88 ||| Baseline characteristics ||| 5.15 ||| When we finished the fifth BMSCs injection, ST-segment elevation and T wave changes on the ECG were observed.",finished bmscs injection st-segment elevation wave ecg observed,C1706059|G0000000|C0021485|C0429029|C0439775|C0678544|C1623258|C1441672
"98 ||| Baseline characteristics ||| 5.25 ||| At the 6-month follow-up, there was significant improvement of the region of myocardial ischemia in both groups compared with baseline.",6-month follow-up improvement region myocardial ischemia compared baseline,C0332177|C0589120|C2986411|C0017446|C0027061|C0022116|C1707455|C0168634
"148 ||| Acknowledgment ||| 9.1 ||| We thank Dr. Joel S. Karliner, Professor of Medicine, University of California San Francisco, and Staff Cardiologist, Department of Veterans Affairs Medical Center, San Francisco, California, USA, for valuable comments and helpful suggestions in writing and revising this manuscript.",dr joel karliner professor medicine university california san francisco staff cardiologist department veterans affairs medical center san francisco california usa valuable comments helpful suggestions writing revising manuscript,C0013014|G0000000|G0000000|C0599518|C0013227|C0041740|C0006754|C1826357|G0000000|C0851286|C0175906|C1704729|C0042610|G0000000|C0199168|C0205099|C1826357|G0000000|C0006754|C0041703|G0000000|C0282411|C3898897|C0038659|C0043266|C1527075|C0600659
102 ||| Baseline characteristics ||| 5.29 ||| A F-18-FDG SPECT was performed in 20 patients who underwent cell transplantation and 21 patients in control group before and 6 months after the procedure.,f-18-fdg spect performed 20 patients underwent cell transplantation 21 patients control 6 months procedure,C0016327|C0040399|C0884358|C0450371|C0030705|G0000000|C0007634|C0040732|C0450371|C0030705|C0243148|G0000000|C0439231|C0184661
"52 ||| Study design ||| 3.1 ||| Randomization and baseline examination: Patients were randomly allocated at the ratio of 1:1 to either the BMSCs or control group (standard medication after primary PCI), with use of sequential numbers.",randomization baseline examination patients randomly allocated ratio 1 1 bmscs control standard medication primary pci sequential,C0034656|C0168634|G0000000|C0030705|G0000000|G0000000|C0456603|G0000000|G0000000|G0000000|C0243148|C1442989|C0013227|C0205225|C4049621|C1548958
"10 ||| Introduction ||| 1.1 ||| Randomized, controlled clinical trials have demonstrated that there is a significant, but small improvement in LV function in autologous bone marrow mononuclear cells therapy following acute myocardial infarction (AMI) [1][2][3][4][5][6].",randomized controlled clinical trials demonstrated improvement lv function autologous bone marrow mononuclear cells therapy acute myocardial infarction ami 123456,C0034656|C2587213|C0205210|C0008976|G0000000|C2986411|C0023128|C0031843|C0439859|C0262950|C0086590|C1513475|C0007634|C0039798|C0205178|C0027061|C0021308|G0000000|G0000000
84 ||| Baseline characteristics ||| 5.11 ||| The suspected cause was acute in-stent thrombosis.,suspected acute in-stent thrombosis,C0332147|C0205178|C0150312|C0040053
"111 ||| Discussion ||| 6.2 ||| Of note, we found one serious complication of acute coronary artery occlusion in relation to microvessel obstruction during intracoronary BMSC injection.",note complication acute coronary artery occlusion relation microvessel obstruction intracoronary bmsc injection,C1316572|C0009566|C0205178|C0018787|C0003842|C0011382|C0080103|C2350570|C0028778|C0595454|G0000000|C0021485
62 ||| Study design ||| 3.11 ||| The mononuclear cell fraction was isolated using a density gradient with Lymphocyte Separation Medium (Biowhittaker) and then the low-density cells were washed    were analyzed independently by 2 experienced observers who were unaware of patients' treatment assignments.,mononuclear cell fraction isolated density gradient lymphocyte separation medium biowhittaker low-density cells washed analyzed independently 2 experienced observers unaware patients treatment assignments,C1513475|C0007634|C1264633|C0205409|C0178587|C0439182|C0024264|C0036679|C0009458|G0000000|C0205251|C0007634|C1548982|C0936012|G0000000|G0000000|C0237607|C0870992|C0150114|C0030705|C0039798|C1516050
93 ||| Baseline characteristics ||| 5.20 ||| Adverse events,adverse events,G0000000|C0441471
"92 ||| Baseline characteristics ||| 5.19 ||| Since this time, the patient experienced a recurrent myocardial infarction but has survived up to now.",time patient experienced recurrent myocardial infarction survived,C0040223|C0030705|C0237607|C2945760|C0027061|C0021308|C0310255
"141 ||| Limitations ||| 7.12 ||| So, we decided an early termination of patient recruitment.",decided termination patient recruitment,G0000000|C1549081|C0030705|C2949735
105 ||| Baseline characteristics ||| 5.32 ||| Baseline global LVEF was similar between patient groups (P = 0.648) as shown Table 1.,baseline global lvef patient = 0 648 table 1,C0168634|C0205246|C0428772|C0030705|G0000000|G0000000|C1442061|C0039224|G0000000
59 ||| Study design ||| 3.8 ||| The bone marrow aspirate was shipped at room temperature to the central cell-processing laboratory (Cell Center of Academy of Military Medical Sciences) where BMSCs were purified following International Conference on Harmonization and US Food and Drug Administration regulatory guidelines [27].,bone marrow aspirate shipped temperature central cell-processing laboratory cell center academy military medical sciences bmscs purified international conference harmonization food drug administration regulatory guidelines 27,C0262950|C0086590|C0370199|C0036971|C0005903|C0205099|C0007634|C0022877|C0007634|C0205099|C0000876|C0026126|C0199168|C0036397|G0000000|C1998793|C1512888|C0086047|G0000000|C0016452|C0013227|C0001554|C0220905|C0162791|C0450371
"74 ||| Baseline characteristics ||| 5.1 ||| In the BMSCs-treated group, mean (3.08 ± 0.52) x10 6 P2 autologous BMSCs were infused via intracoronary.",bmscs-treated 3 08 0 52 x10 6 p2 autologous bmscs infused intracoronary,C1522326|G0000000|C0450371|G0000000|C0450371|C1442061|G0000000|C0332132|C0439859|G0000000|G0000000|C0595454
42 ||| Methods ||| 2.7 ||| An independent data and safety monitoring panel was informed of any adverse events if occurred.,independent data safety monitoring panel informed adverse events occurred,C0085862|C1511726|C0036043|C0150369|C0441833|C1522154|G0000000|C0441471|C1709305
