DHEA,dhea,C0011185
"5-FU/folinic acid ( FA , FUFA ) alone or in combination with irinotecan 5-fluorouracil/folinic acid and irinotecan ( FOLFIRI ) stratified by TS ( low versus high )",5-fu/folinic acid fa fufa combination irinotecan 5-fluorouracil/folinic acid irinotecan folfiri stratified low versus,C0016360|C0001128|G0000000|G0000000|C0205195|C0123931|C0016360|C0001128|C0123931|C1880658|C0205363|C0205251|G0000000
S-nitrosoglutathione,s-nitrosoglutathione,G0000000
oral dexamethasone,oral dexamethasone,C0442027|C0011777
"selected main points were Neiguan ( PC 6 ) , Qu-chi ( LI 11 ) , Waiguan ( TE 5 ) , Hegu ( LI 4 ) , Binao ( LI 14 ) , Jianyu ( LI 15 ) , Fengshi ( GB 31 ) , Xuehai ( SP 10 ) , Yinlingquan ( SP 9 ) , Sanyinjiao ( SP 6 ) , Taichong ( LR 3 ) ,",selected main neiguan pc 6 qu-chi li 11 waiguan te 5 hegu li 4 binao li 14 jianyu li 15 fengshi gb 31 xuehai sp 10 yinlingquan sp 9 sanyinjiao sp 6 taichong lr 3,C1707391|C0205225|G0000000|C0031995|G0000000|C4053566|C0023617|C0450371|G0000000|C0039462|G0000000|G0000000|C0023617|G0000000|G0000000|C0023617|C0450371|G0000000|C0023617|C0450371|G0000000|C0016910|C0450371|G0000000|C0037747|C0450371|G0000000|C0037747|G0000000|G0000000|C0037747|G0000000|G0000000|C0023617|G0000000
C,NULL,NULL
oxytocin nasal spray,oxytocin nasal spray,C0030095|C0028429|C1704413
SET,set,C0036849
20 % albumin solution ( placebo ),20 % albumin solution placebo,C0450371|G0000000|C0001924|C0037633|C0032042
D,NULL,NULL
L-carnosine,l-carnosine,C0007267
nitrous oxide,nitrous oxide,C0028158|C0030015
variceal band ligation,variceal band ligation,G0000000|C0175723|C0023690
Auditory ERPs,auditory erps,C0439825|C0015214
Iohexol,iohexol,C0022005
Omega-3 fatty acids therapy,omega-3 fatty acids therapy,C1719844|G0000000|C0001128|C0039798
total intravenous anesthesia ( TIVA group ),total intravenous anesthesia tiva,C0439175|C0348016|C0002903|G0000000
N,NULL,NULL
40 mg frusemide daily or placebo,40 frusemide daily placebo,C0450371|C0016860|C0332173|C0032042
P,NULL,NULL
peer-mediated intervention,peer-mediated intervention,C0679739|C0886296
self-face,self-face,C0036588
T,NULL,NULL
levamisole,levamisole,C0023556
protein-bound polysaccharide K ( PSK ),protein-bound polysaccharide psk,C0522527|C0032594|C0072522
prophylactic cranial irradiation,prophylactic cranial irradiation,C0355642|C0037303|C1282930
Z,NULL,NULL
comprehensive intervention,comprehensive intervention,C1880156|C0886296
CECC,cecc,G0000000
Z then P,NULL,NULL
desvenlafaxine,desvenlafaxine,C1880288
nicotine patch supplementation,nicotine patch supplementation,C0028040|C0332461|C0242297
usual supportive care alone,usual supportive care,C3538928|C1521721|C1947933
metformin,metformin,C0025598
stentless bioprostheses,stentless bioprostheses,G0000000|C0005557
blood,blood,C0005767
grass AIT,grass ait,C0018210|C1426025
imatinib 800 mg,imatinib 800,C0935989|C1442061
enucleation,enucleation,C0014392
BET,bet,C0016995
anistreplase,anistreplase,C0078956
psychotherapy plus drug,psychotherapy drug,C0033968|C0013227
labetalol,labetalol,C0022860
leuprolide acetate,leuprolide acetate,C0085272|C0000975
control appliance,control appliance,C0243148|C0243112
timolol-induced,timolol-induced,C0040233
non-pharmacological interventions,non-pharmacological interventions,C1518422|C0886296
Telephone contact,telephone contact,C0039457|C0332158
IV 6-mercaptopurine,iv 6-mercaptopurine,C0022326|C0000618
dial caliper,dial caliper,C1707733|C0175720
rectal and urethral bleeding,rectal urethral bleeding,C0205052|C0041967|C0019080
"abdominoperineal or anterior resection , with or without preoperative radiotherapy",abdominoperineal anterior resection preoperative radiotherapy,C0442411|C0205094|C0015252|C0445204|C0034619
One-Step Plus ( TE2 ) + rcp + Dl ;,one-step te2 + rcp + dl,C0534010|G0000000|G0000000|C1419325|G0000000|C3642216
etoricoxib 's,etoricoxib,C0972314
Angiotensin II infusion,angiotensin ii infusion,C0003018|G0000000|C0574032
"1 ) Copy the target word from the computer screen ( n=22 ) , 2 ) Memorize the target word and write it from memory ( n=21 ) , 3 ) Word reading ( n=21 ) , and 4 ) the untrained control group",1 copy target word computer screen n=22 2 memorize target word write memory n=21 3 word reading n=21 4 untrained control,G0000000|C1948062|C1521840|C1705313|C0009622|C0220908|C0369718|G0000000|G0000000|C1521840|C1705313|C0043266|C0025260|C0369718|G0000000|C1705313|C0034754|C0369718|G0000000|G0000000|C0243148
administration of exogenous growth hormone,administration exogenous growth hormone,C0001554|C0205101|C0018270|C0019932
soybean meal,soybean meal,C0037733|C1998602
cisplatin with cisplatin and cyclophosphamide,cisplatin cisplatin cyclophosphamide,C0008838|C0008838|C0010583
Guided imagery,guided imagery,C0181090|C0150627
lymphadenectomy,lymphadenectomy,C0024203
standard laser treatment,standard laser treatment,C1442989|C0023089|C0039798
epinephrine-free,epinephrine-free,C0014563
transplantation,transplantation,C0040732
thiopentone/halothane/N2O anaesthesia,thiopentone/halothane/n2o anaesthesia,C0039925|C0002903
fenbendazole oral drench,fenbendazole oral drench,C0015821|C0442027|G0000000
rHu-EPO,rhu-epo,C0949898
myoblasts,myoblasts,C0596995
60 min of upright cycling,60 min upright cycling,C0450371|C0702093|C0522015|C1511572
BHI,bhi,G0000000
bumetanide,bumetanide,C0006376
nocturnal polysomnograms ( NPSG ),nocturnal polysomnograms npsg,C0240526|C0162701|G0000000
energy balance,energy balance,C0424589|C0014653
chlorhexidine gluconate ( CHG ),chlorhexidine gluconate chg,C0008196|C0017714|C0008586
placebo ( peppermint tea ),placebo peppermint tea,C0032042|C0070324|C0039400
single and paired pulse TMS paradigms,single paired pulse tms paradigms,C0037179|C1709450|C0232117|G0000000|C0681797
different central nervous system ( CNS ) directed therapies,central nervous system cns directed therapies,C0205099|C0027769|C0449913|C3714787|C0439851|C0087111
isotonic saline 5 mL i.v .,isotonic saline 5,G0000000|C0036082|G0000000
or 400 mg,400,C1442061
calcium heparin at a dose of 5000 IU t.i.d .,calcium heparin dose 5000 iu,C0006675|C0019134|C0178602|G0000000|C0049272
Symptomatic treatment,symptomatic treatment,C0231220|C0039798
HCTZ,hctz,C0020261
biomarker-based diagnostic strategy ( aspergillus galactomannan and PCR ),biomarker-based diagnostic strategy aspergillus galactomannan pcr,C0005516|C0011900|C0679199|C0004034|C0060961|C0032520
clonidine ( CLO ),clonidine clo,C0009014|C0122922
MBCT,mbct,G0000000
diet low in ascorbate,diet low ascorbate,C0012155|C0205251|C0178487
expressed breast milk,expressed breast milk,G0000000|C0006141|C0026131
cilazapril plus placebo,cilazapril placebo,C0055723|C0032042
induction ITC and craniospinal irradiation ( CSpRT ) with no maintenance ITC,induction itc craniospinal irradiation csprt maintenance itc,C0205263|G0000000|C2827406|C1282930|G0000000|C0024501|G0000000
Ibuprofen arginate,ibuprofen arginate,C0020740|G0000000
arzoxifene 20 or 50 mg/day,arzoxifene 20 50 mg/day,C1100184|C0450371|C0450371|C0439422
ICCE and ACL implantation,icce acl implantation,C0339026|C0078960|C0021107
IV SFGC in sucrose,iv sfgc sucrose,C0022326|G0000000|C0038636
) system,system,C0449913
pain modulation response,pain modulation response,C0030193|C0443264|C0871261
randomly assigned to undergo cardiac surgery with or without AS,randomly assigned undergo cardiac surgery,G0000000|C1516050|G0000000|C0018787|C0038894
levetiracetam,levetiracetam,C0377265
anaesthesia .,anaesthesia,C0002903
"whey-predominant , 50 % medium chain triglyceride formula with relatively high concentrations of zinc",whey-predominant 50 % medium chain triglyceride formula concentrations zinc,C0078479|C0450371|G0000000|C0009458|C0337112|C0041004|C0489829|C0086045|C0043481
basic therapy,basic therapy,C1527178|C0039798
cryotherapy plus placebo,cryotherapy placebo,C0010408|C0032042
SLC,slc,C1332684
anistreplase .,anistreplase,C0078956
12.5 mg/L of zinc,12 5 mg/l zinc,C0450371|G0000000|C0439268|C0043481
iontophoretic,iontophoretic,C0022024
adenoidectomy,adenoidectomy,C0001425
postal questionnaire,postal questionnaire,C1514253|C0034394
"four cycles of mitomycin 6 mg/m2 , vinblastine 6 mg/m2 , and cisplatin",cycles mitomycin 6 mg/m2 vinblastine 6 mg/m2 cisplatin,C1511572|C0002475|G0000000|C0026410|C0042670|G0000000|C0026410|C0008838
SLN,sln,C1420247
halothane,halothane,C0018549
endoscopic variceal ligation ( EVL ),endoscopic variceal ligation evl,C0014245|G0000000|C0023690|C1426797
short nurse-based group education,short nurse-based education,C1282927|C0028661|C0013621
short-,short-,C1282927
Laser therapy combined with brachytherapy,laser therapy combined brachytherapy,C0023089|C0039798|C0205195|C0006098
sertraline,sertraline,C0074393
The Junior Detective Training Program .,junior detective training program,C1708595|C0335385|C0040607|C1709697
lamivudine + stavudine,lamivudine + stavudine,C0209738|G0000000|C0164662
did not,NULL,NULL
depot-medroxyprogesterone acetate ( DMPA ),depot-medroxyprogesterone acetate dmpa,C3830287|C0000975|C0067376
conventional PCNL,conventional pcnl,C0439858|G0000000
SMC,smc,C0021665
fenfluramine treatment,fenfluramine treatment,C0015827|C0039798
imiquimod cream,imiquimod cream,C0165032|C0700385
patient education,patient education,C0030705|C0013621
Hib vaccines,hib vaccines,C0018482|C0042210
moderate blood pressure control,moderate blood pressure control,C0205081|C0005767|C0033095|C0243148
1 with modafinil 200 mg/d,1 modafinil 200 mg/d,G0000000|C0066677|C1442061|C0439422
continued-lithium,continued-lithium,C0549178
SMT,smt,G0000000
vaccination,vaccination,C0042196
Iontophoretic,iontophoretic,C0022024
stretching and stabilization exercises,stretching stabilization exercises,C0600080|C1293130|C0015259
PET scan,pet scan,C0031268|C0034606
alphabet subtraction items in short lag and long lag conditions .,alphabet subtraction items short lag lag conditions,C0871643|C2348589|C1551338|C1282927|C1416797|C1416797|C0012634
cetuximab plus CRT,cetuximab crt,C0995188|G0000000
early intensive behavioural intervention clinic,intensive behavioural intervention clinic,C0162425|C0004927|C0886296|C0002424
metformin and insulin,metformin insulin,C0025598|C0021641
specialized basketball training group,specialized basketball training,C0205555|C0004818|C0040607
Ixabepilone,ixabepilone,C1135132
Hypericum treatment,hypericum treatment,C1256259|C0039798
PKRP,pkrp,G0000000
"prednisone , cyclophosphamide",prednisone cyclophosphamide,C0032952|C0010583
seated upright rest,seated upright rest,C0277814|C0522015|C0035253
Supplementary vitamin E,supplementary vitamin,G0000000|C0042890
soy intake,soy intake,C0037733|C1512806
human interferon-beta,human interferon-beta,C0086418|C0015980
traditional treatment,traditional treatment,C0443324|C0039798
BMT,bmt,C0005961
oral zolpidem,oral zolpidem,C0442027|C0078839
lisinopril and slow-release nifedipine,lisinopril slow-release nifedipine,C0065374|C0439834|C0028066
BMS,bms,G0000000
BMV,bmv,G0000000
"gemcitabine 1,000 mg/m ( 2 ) Days 1 and 8 and paclitaxel 100 mg/m ( 2 ) as a 1-h infusion on Days 1 and 8 ( GP2 )",gemcitabine 1 000 mg/m 2 days 1 8 paclitaxel 100 mg/m 2 1-h infusion days 1 8 gp2,C0045093|G0000000|C1442061|C0026410|G0000000|C0439228|G0000000|G0000000|C0144576|C1442061|C0026410|G0000000|C0033727|C0574032|C0439228|G0000000|G0000000|G0000000
Psoralen plus ultraviolet A ( PUVA ),psoralen ultraviolet puva,C0016072|C1532472|C0853073
5-fluorouracil,5-fluorouracil,C0016360
control condition,control condition,C0243148|C0012634
nicotine patch,nicotine patch,C0028040|C0332461
cytarabine and infusional daunorubicin with or without intravenous CsA,cytarabine infusional daunorubicin intravenous csa,C0010711|C0574032|C0011015|C0348016|G0000000
anesthetics,anesthetics,C0002930
AmB,amb,C0002679
multiple therapies,multiple therapies,C0439064|C0087111
combination of DMARDs,combination dmards,C0205195|C0242708
colour-coded QC Result Sheet,colour-coded qc result sheet,C0009393|C0034378|C1274040|C2349187
dexmedetomidine,dexmedetomidine,C0113293
MSLT,mslt,C0519186
laryngeal,laryngeal,C0023078
perindopril,perindopril,C0136123
tegaserod,tegaserod,C0537147
"PEB chemotherapy ( bleomycin , etoposide and cisplatinum )",peb chemotherapy bleomycin etoposide cisplatinum,C0053334|C0013216|C0005740|C0015133|C0008838
calcium carbonate,calcium carbonate,C0006675|C0007026
chemotherapy alone,chemotherapy,C0013216
norethindrone acetate alone,norethindrone acetate,C0028356|C0000975
radical prostatectomy ( RP ),radical prostatectomy rp,C0302912|C0033573|C0031529
"purified , heat-treated equine rabies immunoglobulin ( PHT-Erig )",purified heat-treated equine rabies immunoglobulin pht-erig,C1998793|C0018837|C0019944|C0034494|C0021027|C1324698
treated with fibrin glue,treated fibrin glue,C1522326|C0015982|C0017780
desmopressin,desmopressin,C0011701
MC-1,mc-1,C0024403
lapatinib plus vinorelbine,lapatinib vinorelbine,C1506770|C0078257
computerized training program involving either faces or houses,computerized training program involving houses,G0000000|C0040607|C1709697|C1314939|C0442519
sheltered workshops,sheltered workshops,C0150767|C0242262
trichloroacetic acid ( TCA ),trichloroacetic acid tca,G0000000|C0001128|C0041405
citalopram hydrobromide,citalopram hydrobromide,C0008845|G0000000
"lovastatin , an HMG CoA reductase inhibitor",lovastatin hmg coa reductase inhibitor,C0024027|G0000000|G0000000|C0030016|C1999216
left internal thoracic artery to the left anterior descending,left internal thoracic artery left anterior descending,C0205091|C0205102|G0000000|C0003842|C0205091|C0205094|C0205386
sertraline 50 mg,sertraline 50,C0074393|C0450371
low-dose hormone therapy ( HT ),low-dose hormone therapy ht,C0445550|C0019932|C0039798|C0018510
supradiaphragmatic radiotherapy ( 40 Gy ),supradiaphragmatic radiotherapy 40 gy,G0000000|C0034619|C0450371|C0018408
Ringer 's acetate solution,ringer acetate solution,C1875730|C0000975|C0037633
aquatic exercise programme,aquatic exercise programme,C0884441|C0015259|C1709697
Azimilide dihydrochloride,azimilide dihydrochloride,C0252416|G0000000
immunosuppressive therapy,immunosuppressive therapy,C0021081|C0039798
EFV+IDV,efv+idv,C0674428
ethinyl estradiol ( E2 ),ethinyl estradiol e2,G0000000|C0014912|C1704625
crystalloid,crystalloid,C0056562
chemo + radiotherapy and thereafter by maintenance BCG therapy,chemo + radiotherapy maintenance bcg therapy,C0392920|G0000000|C0034619|C0024501|G0000000|C0039798
ceramic brackets,ceramic brackets,C0007742|C0179407
"receive catheter ablation and an ICD ( ablation group , n=54 )",receive catheter ablation icd ablation n=54,C1514756|C0085590|C0547070|C0021122|C0547070|C0369718
pulsed Doppler echocardiography,pulsed doppler echocardiography,C1947910|C0554756|C0013516
centrifugation and multiple-pass hemoconcentration .,centrifugation multiple-pass hemoconcentration,C0007703|C0439064|C0549409
One quadrant sub-Tenon 's capsule anesthesia,quadrant sub-tenon capsule anesthesia,C1631280|C0542339|C0006935|C0002903
Intervention,intervention,C0886296
Multimodal Anxiety and Social Skill Intervention,multimodal anxiety social skill intervention,C1513743|C0003467|C0728831|C0678856|C0886296
12 mm heel lifts,12 mm heel lifts,C0450371|G0000000|C0018870|C0181620
electrocautery division of the isthmus,electrocautery division isthmus,C0013804|C0152060|C2985476
Sodium-potassium pump activity,sodium-potassium pump activity,C1318199|C0182537|C0205177
treatment as usual ( TAU ),treatment usual tau,C0039798|C3538928|C1720655
low intensity training,low intensity training,C0205251|C0522510|C0040607
health promotion,health promotion,C0018684|C0033414
long-chain polyunsaturated fatty acid/day ),long-chain polyunsaturated fatty acid/day,C0205166|G0000000|G0000000|C0001128
wait-list control group,wait-list control,C0043010|C0243148
cognitive-behavioral group therapy,cognitive-behavioral therapy,C1516691|C0039798
lidocaine,lidocaine,C0023660
imperceptible,imperceptible,G0000000
SRP,srp,C0074512
chestnut tannins,chestnut tannins,C0222035|C0039294
"14-day skiing tour through the Swedish mountains , carrying a pack load of 30 kg , and spending each night in self-dug igloos ( ambient temp -10 degrees to -25 degrees C )",14-day skiing tour swedish mountains carrying pack load 30 spending night self-dug igloos ambient temp -10 degrees -25 degrees,C0450371|C0037264|C0541749|C1710263|C0442533|C0206243|C1968515|C1550025|C0450371|C0680968|C0240526|C0036588|G0000000|C1879688|C0039476|C0450371|C0449286|C0450371|C0449286
Boswellic acids ( BAs ),boswellic acids bas,G0000000|C0001128|C1862288
thrombolytic drug,thrombolytic drug,C0016018|C0013227
cholecystectomy,cholecystectomy,C0008320
N-Acetylcysteine,n-acetylcysteine,C0001047
Tromethamine buffer,tromethamine buffer,C0041175|C0006353
step test,step test,C1261552|C0022885
conventional differential-pressure ( DP- ) valve,conventional differential-pressure dp- valve,C0439858|C0443199|C1531217|C0184252
24-h blood pressure monitoring,24-h blood pressure monitoring,C0450371|C0005767|C0033095|C0150369
angiotensin converting enzyme inhibitor,angiotensin converting enzyme inhibitor,C0003018|G0000000|C0014442|C1999216
"addition of adriamycin ( ADR ) or bilateral pulmonary radiotherapy ( RT ) to vincristine , dactinomycin , and cyclophosphamide ( VAC therapy )",addition adriamycin adr bilateral pulmonary radiotherapy rt vincristine dactinomycin cyclophosphamide vac therapy,C0332287|C0085752|G0000000|C0238767|C0024109|C0034619|C0230425|C0042679|C0010934|C0010583|G0000000|C0039798
alendronate,alendronate,C0102118
cisplatin,cisplatin,C0008838
bilastine,bilastine,C1101148
direct and indirect intervention,direct indirect intervention,C0439851|C0439852|C0886296
placing a non inflated Fogarty balloon,placing inflated fogarty balloon,C0442504|C0021398|G0000000|C0336867
"view a video of the same boy in one of three conditions : No Autism , Autism , or Autism/Information .",view video boy conditions autism autism autism/information,C0449911|C0042655|C0870221|C0012634|C0004352|C0004352|C0004352
pneumatic compression boots,pneumatic compression boots,G0000000|C0332459|C0331794
epirubicin,epirubicin,C0014582
customizing reminder letters .,customizing reminder letters,C1880202|C1709896|C0282413
"epothilone B analog , ixabepilone , with or without estramustine phosphate ( EMP )",epothilone analog ixabepilone estramustine phosphate emp,C1135132|C0243071|C1135132|C0014921|C0031603|C1422169
SSQ,ssq,G0000000
SSS,sss,C0037052
high-dose epirubicin,high-dose epirubicin,C0444956|C0014582
12-week educational intervention,12-week educational intervention,C0450371|C0587721|C0886296
toothbrush and dentifrice,toothbrush dentifrice,C0040461|C0011427
Relaxation and imagery and cognitive-behavioral training,relaxation imagery cognitive-behavioral training,C0035028|C0150627|C1516691|C0040607
acellular vaccine,acellular vaccine,G0000000|C0042210
SST,sst,C1553430
chiropractic,chiropractic,C0008138
double therapy,double therapy,C0205173|C0039798
robot-assisted motor training,robot-assisted motor training,C3844190|C1513492|C0040607
intravenous ( IV ),intravenous iv,C0348016|C0022326
needle excision of the transformation zone ( NETZ ),needle excision transformation zone netz,C0027551|C0015252|C0040682|C1710706|G0000000
telephone interview,telephone interview,C0039457|C0021822
not scheduled to replace their lenses,scheduled replace lenses,C0086960|C0559956|C0023317
Short-term intravenous antibiotic treatment,short-term intravenous antibiotic treatment,C0443303|C0348016|C0003232|C0039798
postoperative radiation therapy ( RT ),postoperative radiation therapy rt,C0032790|C0034519|C0039798|C0230425
amnioinfusion with warmed saline solution,amnioinfusion warmed saline solution,C0262671|C0687712|C0036082|C0037633
supplemental oral vitamin D,supplemental oral vitamin,C2348609|C0442027|C0042890
ropivacaine 0.1 % -clonidine mixture,ropivacaine 0 1 % -clonidine mixture,C0073571|G0000000|G0000000|G0000000|C0009014|C0439962
Internet-based information technology,internet-based technology,C0282111|C0039421
local services only,local services,C0205276|C0557854
amlodipine/day,amlodipine/day,C0051696
micronized 17beta-estradiol,micronized 17beta-estradiol,C3829074|C0014912
trandolapril-verapamil,trandolapril-verapamil,C0718096
BSE,bse,C0085105
Statin treatment,statin treatment,C0360714|C0039798
sublingual buprenorphine .,sublingual buprenorphine,C0001565|C0006405
electroacununcture,electroacununcture,G0000000
addictive Internet use,addictive internet,C0085281|C0282111
"ViviScal , with fish extract",viviscal fish extract,G0000000|C0016163|C2828366
Central venous catheter self-care,central venous catheter self-care,C0205099|C0042449|C0085590|C0036592
thiopental,thiopental,C0039925
summary ST-segment and T-wave changes,summary st-segment t-wave,C1552616|C0429029|C0429103
stented,stented,C0038257
whale oil,whale oil,C0007896|C0028908
cast Ni-Cr dowel-cores and 2.0 mm ferrules,cast ni-cr dowel-cores 2 0 mm ferrules,C0179686|C0028075|C0687676|G0000000|G0000000|G0000000|C1649565
Nonsteroidal antiinflammatory drugs,nonsteroidal antiinflammatory drugs,G0000000|C0003209|C0013227
was determined from semistructured interviews and from diaries kept by the patients,determined semistructured interviews diaries patients,G0000000|G0000000|C0021822|C0376660|C0030705
bileaflet prostheses,bileaflet prostheses,G0000000|C0175649
The nursing-led inpatient unit,nursing-led inpatient unit,C0006147|C0021562|C0439148
Hydergine,hydergine,C0591616
shengxuening,shengxuening,C1871799
fenofibrate,fenofibrate,C0033228
q.d .,NULL,NULL
BBOS,bbos,G0000000
collaborative care model,collaborative care model,C0282116|C1947933|C3161035
not taking vitamin A,vitamin,C0042890
saline solution load test,saline solution load test,C0036082|C0037633|C1550025|C0022885
HS-30,hs-30,C0450371
historical controls without G-CSF,historical controls g-csf,C1552658|C0243148|C0079459
fexofenadine,fexofenadine,C0296800
ropivacaine 0.1 %,ropivacaine 0 1 %,C0073571|G0000000|G0000000|G0000000
commercially available weighted blanket or otherwise identical usual weight blanket,commercially weighted blanket identical usual weight blanket,G0000000|C0005910|C0179330|C0205280|C3538928|C0005910|C0179330
dual energy X-ray absorptiometry,dual energy x-ray absorptiometry,C1554184|C0424589|C0034571|G0000000
all-norgestrel,all-norgestrel,C0028368
deep ( BIS approximately 50 ),deep bis 50,C0205125|C0556985|C0450371
group intervention designed to teach appropriate social behavior,intervention designed teach social behavior,C0886296|C1707689|C0039401|C0728831|C0004927
qualitative pp65 antigenemia,qualitative pp65 antigenemia,C0205556|G0000000|G0000000
estrogen receptor beta selective Chinese herbal extract,estrogen receptor beta selective chinese herbal extract,C0014939|C0597357|C0330390|C0036576|C0008120|C3146288|C2828366
transdermal placebo gel,transdermal placebo gel,C0040652|C0032042|C0017243
cisplatin chemotherapy,cisplatin chemotherapy,C0008838|C0013216
50 microg salmeterol,50 microg salmeterol,C0450371|G0000000|C0073992
40 mg of pantoprazole,40 pantoprazole,C0450371|C0081876
specially trained community pharmacists,specially trained community pharmacists,G0000000|C0336809|C0009462|C0031323
NETZ,netz,G0000000
placebo ( PLAC ;,placebo plac,C0032042|C0048838
unilateral paramedian needle-insertion technique,unilateral paramedian needle-insertion technique,C0205092|C0441993|C0027551|C0449851
in-person recall with an obese interviewer,in-person recall obese interviewer,C1547564|C0034770|C0028754|C0021821
oral drug,oral drug,C0442027|C0013227
"High-pressure , rapid-inflation pneumatic compression",high-pressure rapid-inflation pneumatic compression,C0205250|C0456962|G0000000|C0332459
mini-Wright meter,mini-wright meter,C0445542|C0475209
zidovudine,zidovudine,C0043474
no acupuncture,acupuncture,C0001299
SWI,swi,C1335840
low-dose radiation therapy,low-dose radiation therapy,C0445550|C0034519|C0039798
placebo infusion,placebo infusion,C0032042|C0574032
selumetinib,selumetinib,C2980074
tobacco prevention curriculum,tobacco prevention curriculum,C0040329|C0199176|C0010478
fluorescence cystoscopy for Ta or T1 urothelial bladder cancer,fluorescence cystoscopy ta t1 urothelial bladder cancer,C0016315|C0010702|C1506978|C0041403|C0227598|C0005682|C0006826
Children were randomly assigned to an experimental or delayed-treatment control group,children randomly assigned experimental delayed-treatment control,C0008059|G0000000|C1516050|C1517586|C0205421|C0243148
"0.3 % ofloxacin eyedrops , BID or QID , for 10 days",0 3 % ofloxacin eyedrops bid qid 10 days,G0000000|G0000000|G0000000|C0028902|C0015399|G0000000|C0585291|C0450371|C0439228
Ate,ate,C0004135
oral methotrexate,oral methotrexate,C0442027|C0025677
"25 mg/kg sulfadoxine and 1.25 mg/kg pyrimethamine plus either placebo , 25 mg/kg amodiaquine , or 12 mg/kg artesunate .",25 mg/kg sulfadoxine 1 25 mg/kg pyrimethamine placebo 25 mg/kg amodiaquine 12 mg/kg artesunate,C0450371|C0439272|C0038679|G0000000|C0450371|C0439272|C0034283|C0032042|C0450371|C0439272|C0002641|C0450371|C0439272|C0052432
Vero-cell rabies vaccine .,vero-cell rabies vaccine,C0042542|C0034494|C0042210
"D-myo-inositol-1,2,6-trisphosphate ( 1,2,6-IP3 )",d-myo-inositol-1 2 6-trisphosphate 1 2 6-ip3,C0021547|G0000000|G0000000|G0000000|G0000000|G0000000
dose study of YM17E,dose study ym17e,C0178602|C0557651|G0000000
Treatment Group or waitlist Control Group,treatment waitlist control,C0039798|C0043010|C0243148
vitamin A supplementation,vitamin supplementation,C0042890|C0242297
crowded logMAR acuity test,crowded logmar acuity test,C0010383|G0000000|C0750509|C0022885
dopamine,dopamine,C0013030
FDG-PET,fdg-pet,C0872169
this group received written feedback from the general practitioner .,received written feedback practitioner,C1514756|C0043266|C0015744|C1709627
TISSEEL VH S/D fibrin sealant,tisseel vh s/d fibrin sealant,C0947703|C1420224|C0565930|C0015982|C0729415
hyperbaric therapy,hyperbaric therapy,G0000000|C0039798
Ferumoxytol,ferumoxytol,C0060274
SXN,sxn,G0000000
BCAHs,bcahs,G0000000
nitrendipine,nitrendipine,C0028127
Iontophoresis,iontophoresis,C0022024
computer-delivered tailored intervention,computer-delivered tailored intervention,C0009622|C0402883|C0886296
laser interferometry of ocular fundus pulsations,laser interferometry ocular fundus pulsations,C0023089|C0021730|C0015392|C0016823|G0000000
experimental ( PostureJac ),experimental posturejac,C1517586|G0000000
Sivelestat sodium hydrate ( sivelestat ),sivelestat sodium hydrate sivelestat,C0130137|C0037473|C0720930|C0130137
HS-60,hs-60,C0450371
metronidazole dental gel,metronidazole dental gel,C0025872|C0011365|C0017243
new style care,style care,C0489654|C1947933
a closure group,closure,C0185003
