third stage of labor,stage labor,C0205390|C0022864
advanced head and neck cancer patients .,advanced head neck cancer patients,C0205179|C0018670|C0027530|C0006826|C0030705
Huntington disease,huntington disease,G0000000|C0012634
genital herpes,genital herpes,C0559522|C0019340
urodynamic SUI,urodynamic sui,C0042059|G0000000
One hundred forty,forty,C3816449
Thirty-nine,thirty-nine,C3816447
One hundred and fifty five male,fifty male,C3816723|C0086582
subjects with mild-to-moderate asthma .,subjects mild-to-moderate asthma,C0681850|C1299392|C0004096
bipolar I disorder,bipolar disorder,C0443156|C0012634
gastrointestinal cancer,gastrointestinal cancer,C0521362|C0006826
2398,2398,G0000000
cancers,cancers,C0006826
clinical diagnosis of actinic keratosis,clinical diagnosis actinic keratosis,C0205210|C0011900|C0439681|C0022593
women,women,C0043210
treatment in an IVF programme .,treatment ivf programme,C0039798|C0872104|C1709697
post-stroke depressed,post-stroke depressed,C0687676|C0344315
high levels,levels,C0441889
advanced cervical cancer,advanced cervical cancer,C0205179|C0027530|C0006826
extensive adenoids,extensive adenoids,C0205231|C0001428
27 young children,27 children,C0450371|C0008059
Forty-five,forty-five,C3816449
60 girls,60 girls,C0450371|C0870604
coronary syndromes,coronary syndromes,C0018787|C0039082
"439 children at two , four , and six months of age",439 children months age,C1442061|C0008059|C0439231|C0001779
ECG ST segment elevation,ecg st segment elevation,C1623258|C0036056|C0441635|C0439775
arteriographically proven coronary artery disease,arteriographically proven coronary artery disease,G0000000|C0456369|C0018787|C0003842|C0012634
132 eligible patients,132 eligible patients,C1442061|C1548635|C0030705
44.3 ( 1.2 ) yr,44 3 1 2 yr,C0450371|G0000000|G0000000|G0000000|C0439234
2079 men,2079,G0000000
goats,goats,C0018019
Four,NULL,NULL
18-21,18-21,C0450371
2.3 %,2 3 %,G0000000|G0000000|G0000000
279 previously untreated mCRC,279 untreated mcrc,C1442061|C0332155|G0000000
combined condylomata,combined condylomata,C0205195|C0302180
left-heart catheterization patients,left-heart catheterization patients,C0225809|C0007430|C0030705
Thirty-seven,thirty-seven,C3816446
anesthetics,anesthetics,C0002930
AmB,amb,C0002679
symptomatic uterine fibroids,symptomatic uterine fibroids,C0231220|C0042149|C0023267
childhood hemolytic-uremic syndrome,childhood hemolytic-uremic syndrome,C0231335|C0312853|C0039082
All,NULL,NULL
cardiac arrest .,cardiac arrest,C0018787|C0237477
acute myelogenous leukemia,acute myelogenous leukemia,C0205178|C0439677|C0023418
n = 352,= 352,G0000000|C1442061
Ninety nine,NULL,NULL
Seventy-nine patients,seventy-nine patients,C3828184|C0030705
12 patients with essential hypertension .,12 patients essential hypertension,C0450371|C0030705|C0205224|C0020538
pseudohermaphrodites,pseudohermaphrodites,C0555232
84 mechanically ventilated distressed,84 mechanically ventilated distressed,C0450371|G0000000|C0231923|C3887804
clinicians,clinicians,C0871685
atrial fibrillation ( AF,atrial fibrillation af,C0018792|C0232197|C0344434
One hundred forty-two,forty-two,C3816449
"adults , mean age of 35.3 years",adults age 35 3,C0001675|C0001779|C0450371|G0000000
obstructive coronary artery disease,obstructive coronary artery disease,C0549186|C0018787|C0003842|C0012634
advanced cancer patients,advanced cancer patients,C0205179|C0006826|C0030705
anaesthetised with either propofol/alfentanil/N2O or thiopentone/halothane/N2O,anaesthetised propofol/alfentanil/n2o thiopentone/halothane/n2o,G0000000|C0033487|C0039925
gastroparesis,gastroparesis,C0152020
GH-deficient adults,gh-deficient adults,C0033993|C0001675
BOO,boo,C1412762
high-risk patients with long-bone fractures .,high-risk patients long-bone fractures,C0332167|C0030705|C0222647|C0016658
fiber-optic bronchoscopy ( FOB ),fiber-optic bronchoscopy fob,C0015979|C0006290|G0000000
200,200,C1442061
cardiac surgery with CPB,cardiac surgery cpb,C0018787|C0038894|G0000000
201,201,C1442061
ISS criteria,iss criteria,C1845118|C0243161
3.08,3 08,G0000000|C0450371
204,204,C1442061
36 premenopausal women,36 premenopausal women,C0450371|C0279752|C0043210
206,206,C1442061
208,208,C1442061
and 9,9,G0000000
BPH,bph,C0005001
unstable angina,unstable angina,C0443343|C0002962
7 girls,7 girls,G0000000|C0870604
acute nonspecific low back pain,acute nonspecific low pain,C0205178|C0205370|C0205251|C0030193
cytosine arabinoside,cytosine arabinoside,C0010843|G0000000
chronic venous insufficiency,chronic venous insufficiency,C0205191|C0042449|C0231179
over 65 years,65,C0450371
Autism Spectrum Disorder .,autism spectrum disorder,C0004352|C1883073|C0012634
aged 7-19 y,aged 7-19,C0001779|C0450371
210,210,C1442061
Fifty otoplasty,fifty otoplasty,C3816723|C0868838
17 heterozygous FH,17 heterozygous fh,C0450371|C0019425|G0000000
acute myelogenous leukemia .,acute myelogenous leukemia,C0205178|C0439677|C0023418
cholecystectomy,cholecystectomy,C0008320
acute myeloid leukemia,acute myeloid leukemia,C0205178|C0439677|C0023418
213,213,C1442061
214,214,C1442061
high risk trauma,risk trauma,C0035647|C0043251
emergency percutaneous coronary intervention ( PCI ),emergency percutaneous coronary intervention pci,C0013956|C0522523|C0018787|C0886296|C4049621
severe nasal polyposis,severe nasal polyposis,C0205082|C0028429|C0334108
bronchial hyperresponsiveness .,bronchial hyperresponsiveness,C0205039|G0000000
normoglycemic,normoglycemic,C0580545
50 cirrhotic,50 cirrhotic,C0450371|C0439686
218,218,C1442061
LPLA,lpla,G0000000
substance abuse,substance abuse,C0439861|C0013146
colonoscopy,colonoscopy,C0009378
liver transplant,liver transplant,C0023884|C0040732
prostate disease,prostate disease,C0033572|C0012634
rhinorrhea,rhinorrhea,C1260880
19.6,19 6,C0450371|G0000000
undergoing total mastectomy,undergoing total mastectomy,G0000000|C0439175|C0024881
221,221,C1442061
223,223,C1442061
HIV-1 infection,hiv-1 infection,C0019682|C0009450
lambs,lambs,C1123019
14 chronic uremic patients on regular hemodialysis,14 chronic uremic patients regular hemodialysis,C0450371|C0205191|G0000000|C0030705|C0205272|C0019004
latent tuberculosis infection,latent tuberculosis infection,C0205275|C0041296|C0009450
228,228,C1442061
229,229,C1442061
mild CKD,mild ckd,C2945599|C1561643
several species of Cooperia,species cooperia,C1705920|C0321281
30 patients,30 patients,C0450371|C0030705
blood pressures above the 95th percentile for age and sex but below 130/90 mm Hg,blood pressures 95th percentile age sex 130/90 mm hg,C0005767|C0033095|G0000000|C1264641|C0001779|C0009253|C1442061|G0000000|C0025424
mild acute pancreatitis,mild acute pancreatitis,C2945599|C0205178|C0030305
230,230,C1442061
231,231,C1442061
59 mild to moderate hypertensives,59 mild moderate hypertensives,C0450371|C2945599|C0205081|C0857121
235,235,C1442061
hemodynamically decompensated heart failure,hemodynamically decompensated heart failure,G0000000|C0205434|C0018787|C0231174
237,237,C1442061
hemiparesis,hemiparesis,C0018989
ASA I-III,asa i-iii,C0004057|C0021966
239,239,C1442061
severely burned children,severely burned children,C0205082|C0006434|C0008059
uncomplicated falciparum malaria .,uncomplicated falciparum malaria,C0443334|G0000000|C0024530
BSO,bso,C0054252
androgenic alopecia,androgenic alopecia,C0002844|C0002170
11-13 years,11-13,C0450371
postoperative wound infection,postoperative wound infection,C0032790|C0043250|C0009450
outpatient gynecological laparoscopy,outpatient gynecological laparoscopy,C0029921|C0018417|C0031150
SUI,sui,G0000000
N=253,n=253,C0369718
retroperitoneal lymph node resection,retroperitoneal lymph node resection,C0035359|C0024202|C0746922|C0015252
shift work disorder,shift disorder,C0333051|C0012634
melanoma,melanoma,C0025202
primary spinal cord tumors,primary spinal cord tumors,C0205225|C0521329|C1550235|C0027651
Five hundred,NULL,NULL
240,240,C1442061
242,242,C1442061
243,243,C1442061
liver fibrosis,liver fibrosis,C0023884|C0016059
245,245,C1442061
247,247,C1442061
248,248,C1442061
249,249,C1442061
1905,1905,G0000000
cocaine dependence,cocaine dependence,C0009170|C0011546
people experiencing lengthy hospitalizations,people experiencing lengthy hospitalizations,C0027361|C0237607|C1444754|C0019993
Eight hundred and three patients,patients,C0030705
OHTS,ohts,G0000000
antiretroviral initiation,antiretroviral initiation,G0000000|C0589507
chronic CRPS1,chronic crps1,C0205191|G0000000
prolonged diarrhoea,prolonged diarrhoea,C0439590|C0011991
"19,236",19 236,C0450371|C1442061
380 patients,380 patients,C1442061|C0030705
Eighty-two,eighty-two,C3816958
chronic ankle instability,chronic ankle instability,C0205191|C0003086|C1444783
"4,000",4 000,G0000000|C1442061
"4 , 8 and 12 weeks",4 8 12 weeks,G0000000|G0000000|C0450371|C0439230
two,NULL,NULL
253,253,C1442061
254,254,C1442061
255,255,C1442061
256,256,C1442061
postexercise hypotension,postexercise hypotension,C1979962|C0020649
palmoplantar pustulosis ( PPP ),palmoplantar pustulosis ppp,G0000000|G0000000|C0031106
257,257,C1442061
chronic kidney disease ( CKD ),chronic kidney disease ckd,C0205191|C0022646|C0012634|C1561643
attack,attack,C0277793
1918,1918,G0000000
moderately progressive IgA nephropathy,moderately progressive iga nephropathy,C0205081|C0205329|C2825347|C0022658
SWD,swd,G0000000
10-21,10-21,C0450371
initial colonoscopic polypectomy,initial colonoscopic polypectomy,C0205265|C0009378|C0521210
latent myofascial trigger points,latent myofascial trigger,C0205275|G0000000|C0032930
8 healthy male,8 healthy male,G0000000|C3898900|C0086582
17 men,17,C0450371
58 infants and children,58 infants children,C0450371|C0021270|C0008059
hemiarthroplasty for hip fracture,hemiarthroplasty hip fracture,C0744743|C0019552|C0016658
catheter-tip,catheter-tip,C0444299
type 2 diabetes,type 2 diabetes,C0332307|G0000000|C0011847
269,269,C1442061
dystonia,dystonia,C0013421
functionally impaired older adults,functionally impaired adults,G0000000|C0221099|C0001675
acute UC,acute uc,C0205178|G0000000
relapsing non-Hodgkin 's malignant lymphomas,relapsing non-hodgkin malignant lymphomas,C0035020|C0024305|C0205282|C0024299
stage III colon cancer,stage iii colon cancer,C0205390|C0439070|C0009368|C0006826
two-thirds,two-thirds,C0205448
single-ventricle lesions,single-ventricle lesions,C0152424|C0221198
270,270,C1442061
skin cancers,skin cancers,C0444099|C0006826
acute NP,acute np,C0205178|C0065827
274,274,C1442061
pediatric,pediatric,C0030755
acute respiratory distress syndrome patients,acute respiratory distress syndrome patients,C0205178|C0521346|C0231303|C0039082|C0030705
Thirty male,thirty male,C3816446|C0086582
276,276,C1442061
acute uncomplicated hemorrhoids,acute uncomplicated hemorrhoids,C0205178|C0443334|C0019112
chronic osteomyelitis,chronic osteomyelitis,C0205191|C0029443
breast cancer -- long-term,breast cancer -- long-term,C0006141|C0006826|G0000000|C0443252
bipolar type II,bipolar type ii,C0443156|C0332307|G0000000
50 to 64 years,50 64,C0450371|C0450371
non-IgA proliferative glomerulonephritis,non-iga proliferative glomerulonephritis,C1518422|C0334094|C0017658
overactive bladder associated with benign prostatic hyperplasia,overactive bladder benign prostatic hyperplasia,C0443272|C0005682|C0205183|C0033572|C0020507
ages 40 to 80,ages 40 80,C0001779|C0450371|C0450371
frozen shoulder,frozen shoulder,C0016701|C0037004
patients with hairy cell leukemia : a multicenter phase III trial ( SAKK 32/98 ) .,patients hairy cell leukemia multicenter phase iii trial sakk 32/98,C0030705|C0221958|C0007634|C0023418|C0439743|C0205390|C0439070|C0008976|G0000000|C0450371
Multiple Myeloma,multiple myeloma,C0439064|C0026764
prolonged bleeding time,prolonged bleeding time,C0439590|C0019080|C0040223
non-OC users,non-oc users,C1518422|C1706077
splanchnic oxygenation,splanchnic oxygenation,G0000000|C0231940
280,280,C1442061
normal gastric emptying,normal gastric emptying,C0205307|C0038351|C1996907
16 healthy,16 healthy,C0450371|C3898900
283,283,C1442061
284,284,C1442061
> 75 years of age,75 age,C0450371|C0001779
liver-transplant,liver-transplant,C0023911
3 men,3,G0000000
chronic heart failure ( CHF ),chronic heart failure chf,C0205191|C0018787|C0231174|C0018802
261 eligible clinicians,261 eligible clinicians,C1442061|C1548635|C0871685
dyslipidemia,dyslipidemia,C0242339
Fifty-one,fifty-one,C3816723
aged 18-40 years ;,aged 18-40,C0001779|C0450371
memory,memory,C0025260
distal femoral fractures,distal femoral fractures,C0205108|C0015811|C0016658
early recurrent ischemia,recurrent ischemia,C2945760|C0022116
Fifteen,fifteen,C3715153
292,292,C1442061
420 de novo renal allograft,420 de novo renal allograft,C1442061|C0011198|G0000000|C0022646|C0040739
patients who suffer from acute coronary syndrome ( ACS ),patients suffer acute coronary syndrome acs,C0030705|C0683278|C0205178|C0018787|C0039082|G0000000
296,296,C1442061
metastases,metastases,C0027627
PCNL,pcnl,G0000000
polypectomy,polypectomy,C0521210
RA patients .,ra patients,C3538806|C0030705
Fifty-five,fifty-five,C3816723
pain,pain,C0030193
48 critically injured,48 critically injured,C0450371|G0000000|C0332664
wheeze,wheeze,C0043144
healthy volunteers,healthy volunteers,C3898900|C0042960
peripheral obstructive arterial disease,peripheral obstructive arterial disease,C0205100|C0549186|C0003842|C0012634
patients in complete remission,patients complete remission,C0030705|C0205197|C0544452
chronic idiopathic urticaria,chronic idiopathic urticaria,C0205191|C0332240|C0042109
One hundred and sixty,sixty,C3816724
cetuximab-associated acnelike eruption,cetuximab-associated acnelike eruption,C0995188|G0000000|C0015230
Postoperative cold sensitivity,postoperative cold sensitivity,C0032790|C0009264|C0020517
deep vein thrombosis,deep vein thrombosis,C0205125|C0042449|C0040053
chronic illness,chronic illness,C0205191|C0221423
Thirty social phobic patients ( DSM-IV ),thirty social phobic patients dsm-iv,C3816446|C0728831|G0000000|C0030705|C0220952
acute myocardial infarction,acute myocardial infarction,C0205178|C0027061|C0021308
clinically stable,clinically stable,G0000000|C0205360
"40 patients of the control group after the six months of the auditory integrative training , 41 of the experimental group",40 patients control months auditory integrative training 41 experimental,C0450371|C0030705|C0243148|C0439231|C0439825|C1158478|C0040607|C0450371|C1517586
20 healthy,20 healthy,C0450371|C3898900
aspirin-treated patients,aspirin-treated patients,C0004057|C0030705
gastric cancer .,gastric cancer,C0038351|C0006826
three,NULL,NULL
Thirty-two children,thirty-two children,C3816446|C0008059
receiving four doses of hepatitis B vaccine,receiving doses hepatitis vaccine,C1514756|C0178602|C0019158|C0042210
moderate to severe COPD,moderate severe copd,C0205081|C0205082|C0024117
diabetic,diabetic,C0241863
40-79 years,40-79,C0450371
myeloma patients,myeloma patients,C0026764|C0030705
cardiopulmonary bypass,cardiopulmonary bypass,C0553534|C0741847
young children,children,C0008059
children aged 2 to 7 years,children aged 2 7,C0008059|C0001779|G0000000|G0000000
vomiting,vomiting,C0042963
growth hormone treatment,growth hormone treatment,C0018270|C0019932|C0039798
alcoholic liver disease ( ALD ),alcoholic liver disease ald,C0687725|C0023884|C0012634|C0162309
PCOS,pcos,C0032460
Ninety-seven,ninety-seven,C3816959
invasive breast cancer,invasive breast cancer,C0205281|C0006141|C0006826
five preterm infants,preterm infants,C0151526|C0021270
Thirty,thirty,C3816446
serious systemic infection,systemic infection,C0205373|C0009450
"children , adolescents , and adults with mental retardation ( MR ) and pervasive developmental disorders ( PDD ) .",children adolescents adults mental retardation pervasive developmental disorders pdd,C0008059|C0205653|C0001675|C0229992|C0521111|C0205391|C0458003|C0012634|C0008838
pasture-fed,pasture-fed,C0342895
52 male,52 male,C0450371|C0086582
deep anterior resection of the rectum,deep anterior resection rectum,C0205125|C0205094|C0015252|C0034896
cerebral AVM,cerebral avm,G0000000|C0003857
34-65,34-65,C0450371
between the ages of three and six,ages,C0001779
Three hundred adult,adult,C0001675
slotted nails,slotted nails,G0000000|C0027342
elderly adults,elderly adults,C0001792|C0001675
15/28 TMJs,15/28 tmjs,C0450371|G0000000
72 children,72 children,C0450371|C0008059
uncontrolled blood pressure,uncontrolled blood pressure,C0205318|C0005767|C0033095
"57,857",57 857,C0450371|C1442061
advanced stage Parkinson Disease,advanced stage parkinson disease,C0205179|C0205390|C1021144|C0012634
gingival overgrowth,gingival overgrowth,C0017562|C1849265
neuroendocrino-immunological effect,neuroendocrino-immunological,C0205470
oral surgery,oral surgery,C0442027|C0038894
high-risk childhood ALL,high-risk childhood,C0332167|C0231335
12 to 15,12 15,C0450371|C0450371
Twenty-four children,twenty-four children,C3715070|C0008059
Dural Arteriovenous Fistula .,dural arteriovenous fistula,G0000000|C0450109|C0016169
379 patients,379 patients,C1442061|C0030705
acute extremity pain,acute extremity pain,C0205178|C0015385|C0030193
mean age 58 years,age 58,C0001779|C0450371
healthy postmenopausal women,healthy postmenopausal women,C3898900|C0232970|C0043210
PTSD,ptsd,C0038436
acute seasonal allergic conjunctivitis .,acute seasonal allergic conjunctivitis,C0205178|C0439601|C0700624|C0009763
obstructive sleep apnea ( OSA ),obstructive sleep apnea osa,C0549186|C0037313|C0003578|C0520679
Three hundred fourteen,fourteen,C3715152
chronic stable heart failure,chronic stable heart failure,C0205191|C0205360|C0018787|C0231174
venous thromboembolism,venous thromboembolism,C0042449|C0040038
major abdominal trauma,major abdominal trauma,C0205082|C0000726|C0043251
diabetes,diabetes,C0011847
migraine headache,migraine headache,C0149931|C0018681
106 patients,106 patients,C1442061|C0030705
reversible chronic airway obstruction .,reversible chronic airway obstruction,C0205343|C0205191|C0178987|C0028778
shivering threshold in humans .,shivering threshold humans,C0036973|C0449864|C0086418
87 postmenopausal,87 postmenopausal,C0450371|C0232970
poor pulmonary function,poor pulmonary function,C0032854|C0024109|C0031843
One hundred and eighty-one,eighty-one,C3816958
Eight,NULL,NULL
51 females,51 females,C0450371|C0015780
osteoarthritis of the knee,osteoarthritis knee,C0029408|C0022742
gastroesophageal malignancy,gastroesophageal malignancy,C0744316|C0006826
mild-to-moderate Alzheimer disease,mild-to-moderate alzheimer disease,C1299392|G0000000|C0012634
44 men,44,C0450371
Thirty physically active,thirty physically active,C3816446|G0000000|C0205177
n = 84,= 84,G0000000|C0450371
18-35 years,18-35,C0450371
intestinal-type but not diffuse-type cancer .,intestinal-type diffuse-type cancer,C0021853|C0205219|C0006826
CAI,cai,C0064494
conjuctivitis,conjuctivitis,G0000000
eroded root dentine,eroded root dentine,C0059735|C0040452|C0011429
Forty-nine,forty-nine,C3816450
parents of a child diagnosed with an autism spectrum disorder .,parents child diagnosed autism spectrum disorder,C0030551|C0008059|C0011900|C0004352|C1883073|C0012634
Pregnant women,pregnant women,C0549206|C0043210
Sixty-eight,sixty-eight,C3816724
with or without proteinuria and hypertension,proteinuria hypertension,C0033687|C0020538
chronic stable angina,chronic stable angina,C0205191|C0205360|C0002962
non-ST elevation acute coronary syndromes .,non-st elevation acute coronary syndromes,C1518422|C0439775|C0205178|C0018787|C0039082
Twenty nine stable renal transplant recipients,twenty stable renal transplant recipients,C0724000|C0205360|C0022646|C0040732|C1709854
neonates,neonates,C0021289
anorexia nervosa,anorexia nervosa,C0003123|G0000000
chronic neck pain,chronic neck pain,C0205191|C0027530|C0030193
five juvenile diabetic women,juvenile diabetic women,C3146221|C0241863|C0043210
severe pain following surgery,severe pain surgery,C0205082|C0030193|C0038894
Helicobacter pylori,helicobacter pylori,C0085508|C0034196
ten chemical diabetic,ten chemical diabetic,C0014518|C0220806|C0241863
