id,sentences,label,sentences_tokens,cuis
12,80 ||| DISCUSSION ||| 3.4 ||| The search did not identify any studies regarding the use of hydromorphone as an adjuvant agent for general anesthesia.,I,search identify studies hydromorphone adjuvant agent anesthesia,C1552603|G0000000|C0947630|C0012306|C0001551|C0450442|C0002903
13,67 ||| Statistical Analysis ||| 2.18 ||| This randomized trial was carried out and reported in accordance to the CONSORT statement 10 and the CONSORT explanation and elaboration document.,I,randomized trial carried reported consort statement 10 consort explanation elaboration document,C0034656|C0008976|C0206243|C0684224|G0000000|C1710187|C0450371|G0000000|C0681841|G0000000|C1301746
14,"95 ||| DISCUSSION ||| 3.19 ||| By investigating the selection of the venous cannulation at the forearm, it was expected that a difference in the withdrawal movement according to the selection of veins would be detected, but without significance.",O,investigating selection venous cannulation forearm expected difference withdrawal movement selection veins detected significance,C1292732|C0036576|C0042449|C0917707|C0016536|C1517001|C1705241|C2349954|C0026649|C0036576|C0042449|C0442726|C0237881
15,"103 ||| DISCUSSION ||| 3.27 ||| Third, the start of sevoflurane after rocuronium injection is not congruent with common clinical practice.",I,start sevoflurane rocuronium injection congruent common clinical practice,C0439659|C0074414|C0209337|C0021485|C0439853|C0205214|C0205210|C0237607
16,"63 ||| Statistical Analysis ||| 2.14 ||| Among the 194 patients, 3 patients in the fentanyl group and 1 patient in the saline group did not complete the study because they met exclusion criteria during the study process.",P,194 patients 3 patients fentanyl 1 patient saline complete study met exclusion criteria study process,C1442061|C0030705|G0000000|C0030705|C0015846|G0000000|C0030705|C0036082|C0205197|C0557651|C0268621|C0680251|C0243161|C0557651|C1184743
17,86 ||| DISCUSSION ||| 3.10 ||| Additional application of venous tourniquets in future studies could be performed to verify the peripheral analgesic effects of hydromorphone.,O,additional application venous tourniquets future studies performed verify peripheral analgesic effects hydromorphone,C1524062|C0185125|C0042449|C0040519|C0016884|C0947630|C0884358|C1711411|C0205100|C0002771|C1280500|C0012306
18,"98 ||| DISCUSSION ||| 3.22 ||| Therefore, equianalgesic doses of hydromorphone 0.03 mg/kg to fentanyl 2 ␮g/kg were used.",I,equianalgesic doses hydromorphone 0 03 mg/kg fentanyl 2 g/kg,G0000000|C0178602|C0012306|G0000000|C0450371|C0439272|C0015846|G0000000|C1300563
19,20 ||| PATIENTS AND METHODS ||| 1.4 ||| Patients aged 20 to 70 years who had an American Society of Anesthesiologists physical status I or II and were undergoing general anesthesia for elective gastric or colorectal surgery from August 2008 to January 2009 were enrolled consecutively in this study.,P,patients aged 20 70 american society anesthesiologists physical status ii undergoing anesthesia elective gastric colorectal surgery august 2008 january 2009 enrolled consecutively study,C0030705|C0001779|C0450371|C0450371|C0596070|C0037455|C0334910|C0031809|C0449438|G0000000|G0000000|C0002903|C0206058|C0038351|C0555952|C0038894|C3831448|G0000000|C3829466|G0000000|G0000000|G0000000|C0557651
20,"37 ||| PATIENTS AND METHODS ||| 1.21 ||| Then, 2.5% thiopental sodium 5 mg/kg was injected over 5 seconds.",I,2 5% thiopental sodium 5 mg/kg injected 5,G0000000|G0000000|C0039925|C0037473|G0000000|C0439272|C1720154|G0000000
21,90 ||| DISCUSSION ||| 3.14 ||| The status of vocal cord relaxation and the incidence of patient movement during tracheal intubation showed no statistical difference among the 3 groups.,N,status vocal cord relaxation incidence patient movement tracheal intubation statistical difference 3,C0449438|C0205382|C1550235|C0035028|C0021149|C0030705|C0026649|C0040578|C0021925|C0038215|C1705241|G0000000
22,21 ||| PATIENTS AND METHODS ||| 1.5 ||| Enrollment of patients was evaluated through preanesthetic rounds and determined by 2 anesthesiologists (E.Y.J.,N,enrollment patients evaluated preanesthetic rounds determined 2 anesthesiologists,C1516879|C0030705|C0220825|G0000000|C0332490|G0000000|G0000000|C0334910
23,"55 ||| Statistical Analysis ||| 2.6 ||| The hemodynamic parameters among groups, including MAP and HR differences before and after intubation, were compared using Kruskal-Wallis test with post hoc analysis by Tukey test using ranking.",O,hemodynamic parameters including map hr differences intubation compared kruskal-wallis test post hoc analysis tukey test ranking,C0019010|C0449381|C0332257|C0024779|G0000000|C1705241|C0021925|C1707455|G0000000|C0022885|C0687676|G0000000|C0002778|G0000000|C0022885|C0699794
24,"15 |||  ||| 0.15 ||| The peripherally mediated immediate analgesic property of hydromorphone may work to reduce intravenous rocuronium injection pain by inhibiting the activation of the peripheral nociceptors, 4,5 and, with its centrally mediated analgesic effect, may also produce earlier systemic effect than expected.",O,peripherally mediated analgesic property hydromorphone reduce intravenous rocuronium injection pain inhibiting activation peripheral nociceptors 4 5 centrally mediated analgesic produce earlier systemic expected,G0000000|C0086597|C0002771|C0871161|C0012306|G0000000|C0348016|C0209337|C0021485|C0030193|C3463820|C1879547|C0205100|C0028246|G0000000|G0000000|G0000000|C0086597|C0002771|G0000000|C1279919|C0205373|C1517001
25,"124 ||| ACKNOWLEDGMENTS ||| 5.12 ||| Incidence of patient movements, status of vocal cord relaxation during tracheal intubation, and intubation time.ϭ 1.0 *Intubation time was defined as the time from mouth opening to obtaining an appropriate capnographic trace.† P values for intubation time compared with the saline group.‡ P values compared with the fentanyl group.",O,incidence patient movements status vocal cord relaxation tracheal intubation intubation time 1 0 *intubation time defined time mouth obtaining capnographic trace values intubation time compared saline values compared fentanyl,C0021149|C0030705|C0026649|C0449438|C0205382|C1550235|C0035028|C0040578|C0021925|C0021925|C0040223|G0000000|G0000000|C0021925|C0040223|C1704788|C0040223|C0226896|C1301820|C0376529|C0442822|C0042295|C0021925|C0040223|C1707455|C0036082|C0042295|C1707455|C0015846
26,"57 ||| Statistical Analysis ||| 2.8 ||| The incidence of patient movements and the status of vocal cord relaxation during tracheal intubation were analyzed using ␹ 2 test and Fisher exact test, respectively.",N,incidence patient movements status vocal cord relaxation tracheal intubation analyzed 2 test fisher exact test,C0021149|C0030705|C0026649|C0449438|C0205382|C1550235|C0035028|C0040578|C0021925|C0936012|G0000000|C0022885|C0325045|C2828393|C0022885
27,29 ||| PATIENTS AND METHODS ||| 1.13 ||| The patient and 2 anesthesiologists carrying out the induction and recording the outcomes were all blinded to treatment group.,N,patient 2 anesthesiologists carrying induction recording outcomes blinded treatment,C0030705|G0000000|C0334910|C0206243|C0205263|G0000000|C1274040|C0150108|C0039798
28,"112 ||| CONCLUSIONS ||| 4.4 ||| Because using hydromorphone as an adjuvant agent during induction and the intraoperative period is relatively novel, additional studies on the optimal use and doses of hydromorphone during the induction of anesthesia and intraoperative periods are needed.",I,hydromorphone adjuvant agent induction intraoperative period additional studies optimal doses hydromorphone induction anesthesia intraoperative periods,C0012306|C0001551|C0450442|C0205263|C0456904|C0439531|C1524062|C0947630|C2698651|C0178602|C0012306|C0205263|C0002903|C0456904|C0439531
29,"114 ||| ACKNOWLEDGMENTS ||| 5.2 ||| This manuscript was presented, in part, for poster presentation at the Canadian Anesthesiologists' Society 2010 Annual Meeting, Montreal, Quebec, Canada, June 2010.",N,manuscript poster presentation canadian anesthesiologists society 2010 annual meeting montreal quebec canada june 2010,C0600659|C0376675|C0449450|C0238884|C0334910|C0037455|G0000000|C0332181|C0556656|G0000000|C0034390|C0006823|C3829443|G0000000
30,"78 ||| DISCUSSION ||| 3.2 ||| Hydromorphone has 5 to 7 times more potent analgesic efficacy than morphine, with a similar or lower incidence of adverse effects.",N,hydromorphone 5 7 times potent analgesic efficacy morphine lower incidence adverse effects,C0012306|G0000000|G0000000|C0040223|C3245505|C0002771|C1280519|C0026549|C0441994|C0021149|G0000000|C1280500
31,76 ||| Statistical Analysis ||| 2.27 ||| No significant between-group differences were found in the incidence of movements during intubation (12 patients [18.5%] in the hydromorphone group; 12 [17.9%] in the fentanyl group; and 20,O,between-group differences incidence movements intubation 12 patients 18 5% hydromorphone 12 17 9% fentanyl 20,C0441833|C1705241|C0021149|C0026649|C0021925|C0450371|C0030705|C0450371|G0000000|C0012306|C0450371|C0450371|G0000000|C0015846|C0450371
32,33 ||| PATIENTS AND METHODS ||| 1.17 ||| Patients with intravenous cannulation located elsewhere than at the veins of the forearm were excluded from the study.,N,patients intravenous cannulation located veins forearm excluded study,C0030705|C0348016|C0917707|G0000000|C0042449|C0016536|C1554077|C0557651
33,"49 ||| PATIENTS AND METHODS ||| 1.33 ||| If there was an increase in HR (Ͼ40% in baseline) and/or increased blood pressure with ST change in electrocardiography after intubation, IV esmolol (0.3 mg/kg) was available for administration.",I,increase hr 40% baseline and/or increased blood pressure st change electrocardiography intubation iv esmolol 0 3 mg/kg administration,C0442805|G0000000|C0450371|C0168634|G0000000|C0205217|C0005767|C0033095|C0036056|C0392747|C0013798|C0021925|C0022326|C0116569|G0000000|G0000000|C0439272|C0001554
34,75 ||| Statistical Analysis ||| 2.26 ||| No patients required administration of IV esmolol after intubation.,I,patients required administration iv esmolol intubation,C0030705|C1514873|C0001554|C0022326|C0116569|C0021925
35,42 ||| PATIENTS AND METHODS ||| 1.26 ||| Sevoflurane was started after the rocuronium injection and was adjusted to maintain an end-tidal concentration of 2.5 to 3.0 vol% in 100% oxygen.,I,sevoflurane started rocuronium injection adjusted maintain end-tidal concentration 2 5 3 0 vol% 100% oxygen,C0074414|C1272689|C0209337|C0021485|C0456081|C0024501|C0444930|C0004268|G0000000|G0000000|G0000000|G0000000|C0449468|C1442061|C0030054
36,28 ||| PATIENTS AND METHODS ||| 1.12 ||| The anesthesiologists (S.Y.L.,N,anesthesiologists,C0334910
37,"88 ||| DISCUSSION ||| 3.12 ||| However, opioid pretreatments are used not only for reducing the withdrawal movement but also to attenuate hemodynamic changes due to tracheal intubation.",O,opioid pretreatments reducing withdrawal movement attenuate hemodynamic tracheal intubation,C0242402|C1550147|C0392756|C2349954|C0026649|C0599946|C0019010|C0040578|C0021925
38,"108 ||| DISCUSSION ||| 3.32 ||| In such respects, the benefits of using an opioid as a pretreatment or adjuvant agent may be questionable; however, clinical implication lies more in its use to debilitated patients in whom sympathetic stimulation might cause detrimental clinical consequences, such as myocardial ischemia or hypertensive events.",O,respects benefits opioid pretreatment adjuvant agent questionable clinical implication lies debilitated patients sympathetic stimulation detrimental clinical consequences myocardial ischemia hypertensive events,C0679133|C0814225|C0242402|C1550147|C0001551|C0450442|C0332241|C0205210|G0000000|G0000000|G0000000|C0030705|G0000000|C1292856|G0000000|C0205210|C0686907|C0027061|C0022116|C0857121|C0441471
39,"81 ||| DISCUSSION ||| 3.5 ||| In terms of onset of action, hydromorphone may not be appropriate for procedures that require a rapid onset time.",N,terms onset action hydromorphone procedures require rapid onset time,C0233324|C0206132|C0441472|C0012306|C0025664|G0000000|C0456962|C0206132|C0040223
40,"17 ||| PATIENTS AND METHODS ||| 1.1 ||| This double-blind, randomized, controlled study was conducted at the Samsung Seoul Hospital, Samsung Medical Center in Seoul, Korea.",I,double-blind randomized controlled study conducted samsung seoul hospital samsung medical center seoul korea,C0013072|C0034656|C2587213|C0557651|C0004927|G0000000|C3850150|C0019994|G0000000|C0199168|C0205099|C3850150|C0022771
41,"43 ||| PATIENTS AND METHODS ||| 1.27 ||| Two minutes after the rocuronium injection, the anesthesiologist, who had more than 4 years of experience in anesthetic practice, performed tracheal intubation and applied controlled ventilation to maintain normocarbia without ballooning the cuff for 1 minute to avoid stimulation.",I,minutes rocuronium injection anesthesiologist 4 experience anesthetic practice performed tracheal intubation applied controlled ventilation maintain normocarbia ballooning cuff 1 minute avoid stimulation,C0439232|C0209337|C0021485|C0334910|G0000000|C0237607|C0002932|C0237607|C0884358|C0040578|C0021925|C4048755|C2587213|C0035203|C0024501|G0000000|C0004704|C0441107|G0000000|C0439232|G0000000|C1292856
42,45 ||| PATIENTS AND METHODS ||| 1.29 ||| Anesthesia was maintained with sevoflurane (end-tidal concentration of 2 to 3 vol%).,I,anesthesia maintained sevoflurane end-tidal concentration 2 3 vol%,C0002903|C1314677|C0074414|C0444930|C0004268|G0000000|G0000000|C0449468
43,"70 ||| Statistical Analysis ||| 2.21 ||| The number of patients with intravenous cannulation at the cephalic vein were 45, 42, and 46 in the hydromorphone, fentanyl, and saline groups, respectively.",I,patients intravenous cannulation cephalic vein 45 42 46 hydromorphone fentanyl saline,C0030705|C0348016|C0917707|C0205096|C0042449|C0450371|C0450371|C0450371|C0012306|C0015846|C0036082
44,54 ||| Statistical Analysis ||| 2.5 ||| The changes in MAP and HR within each group from the baseline to before and after tracheal intubation were analyzed by repeatedmeasures ANOVA with Bonferroni adjustment.,I,map hr baseline tracheal intubation analyzed repeatedmeasures anova bonferroni adjustment,C0024779|G0000000|C0168634|C0040578|C0021925|C0936012|G0000000|G0000000|G0000000|C0376209
45,"6 |||  ||| 0.6 ||| Methods: In this double-blind, randomized, controlled study, consecutive adult patients aged 20 to 70 years who were scheduled to undergo general anesthesia for elective gastric or colorectal surgery at the Samsung Seoul Hospital (Seoul, Republic of Korea) were randomly assigned to receive 5 mL hydromorphone 0.03 mg/kg or fentanyl 2 ␮g/kg or normal saline.",P,methods double-blind randomized controlled study consecutive adult patients aged 20 70 scheduled undergo anesthesia elective gastric colorectal surgery samsung seoul hospital seoul republic korea randomly assigned receive 5 hydromorphone 0 03 mg/kg fentanyl 2 g/kg normal saline,C0025663|C0013072|C0034656|C2587213|C0557651|C1707491|C0001675|C0030705|C0001779|C0450371|C0450371|C0086960|G0000000|C0002903|C0206058|C0038351|C0555952|C0038894|G0000000|C3850150|C0019994|C3850150|G0000000|C0022771|G0000000|C1516050|C1514756|G0000000|C0012306|G0000000|C0450371|C0439272|C0015846|G0000000|C1300563|C0205307|C0036082
46,96 ||| DISCUSSION ||| 3.20 ||| This study had several limitations.,N,study limitations,C0557651|C0449295
47,68 ||| Statistical Analysis ||| 2.19 ||| The intravenous cannulation sites at the forearm were similar in all 3 groups.,N,intravenous cannulation sites forearm 3,C0348016|C0917707|C0205145|C0016536|G0000000
48,72 ||| Statistical Analysis ||| 2.23 ||| An 18-gauge intravenous cannula was used for all patients except 1 patient in the saline group who had a 20-gauge intravenous line.,I,18-gauge intravenous cannula patients 1 patient saline 20-gauge intravenous,C0450371|C0348016|C0520453|C0030705|G0000000|C0030705|C0036082|C0450371|C0348016
49,"7 |||  ||| 0.7 ||| Thirty seconds after administering the study drug, anesthesia was induced with 2.5% thiopental sodium 5 mg/kg.",I,thirty administering study drug anesthesia induced 2 5% thiopental sodium 5 mg/kg,C3816446|C1533734|C0557651|C0013227|C0002903|C0205263|G0000000|G0000000|C0039925|C0037473|G0000000|C0439272
50,30 ||| PATIENTS AND METHODS ||| 1.14 ||| The syringes were stored at room temperature.,N,syringes stored temperature,C0039142|C1698986|C0005903
51,"59 ||| Statistical Analysis ||| 2.10 ||| The number of patients in the study was determined based on a pilot study, with an estimated incidence of 45% and 15% withdrawal movement in the saline and hydromorphone groups, respectively.",I,patients study determined based pilot study estimated incidence 45% 15% withdrawal movement saline hydromorphone,C0030705|C0557651|G0000000|C1527178|C0473169|C0557651|C0750572|C0021149|C0450371|C0450371|C2349954|C0026649|C0036082|C0012306
52,"89 ||| DISCUSSION ||| 3.13 ||| Taking this into account, we used hydromorphone as the study agent to affect rocuronium withdrawal movement and hemodynamic profile.",O,account hydromorphone study agent affect rocuronium withdrawal movement hemodynamic profile,C2741673|C0012306|C0557651|C0450442|C0001721|C0209337|C2349954|C0026649|C0019010|C1979963
53,"64 ||| Statistical Analysis ||| 2.15 ||| Exclusion criteria were patients with laryngeal view grade 3 or 4 with no visualization of the vocal cords during tracheal intubation, 9 or any other conditions that would affect vocal cord assessment such as vocal cord spasm, and patients with an intravenous route other than the forearm.",P,exclusion criteria patients laryngeal view grade 3 4 visualization vocal cords tracheal intubation 9 conditions affect vocal cord assessment vocal cord spasm patients intravenous route forearm,C0680251|C0243161|C0030705|C0023078|C0449911|C0441800|G0000000|G0000000|C0175631|C0205382|C1550235|C0040578|C0021925|G0000000|C0012634|C0001721|C0205382|C1550235|C1261322|C0205382|C1550235|C0026821|C0030705|C0348016|C0013153|C0016536
54,69 ||| Statistical Analysis ||| 2.20 ||| The most common intravenous cannulation site was the cephalic vein.,I,common intravenous cannulation site cephalic vein,C0205214|C0348016|C0917707|C0205145|C0205096|C0042449
55,122 ||| ACKNOWLEDGMENTS ||| 5.10 ||| Patients' characteristics (N ‫؍‬ 194).,N,patients characteristics 194,C0030705|C1521970|C1442061
56,"23 ||| PATIENTS AND METHODS ||| 1.7 ||| The exclusion criteria were as follows: known allergy and contraindication to opioids; history of diabetes mellitus, asthma, or neurological deficit; pregnancy; or use of analgesics or sedatives within the 24 hours before surgery.",P,exclusion criteria allergy contraindication opioids history diabetes mellitus asthma neurological deficit pregnancy analgesics sedatives 24 hours surgery,C0680251|C0243161|C0002111|C0522473|C0242402|C0019664|C0011847|G0000000|C0004096|C0205494|C0162429|C0032961|C0002771|C0036557|C0450371|C0439227|C0038894
57,"87 ||| DISCUSSION ||| 3.11 ||| Therefore, if opioids with delayed onset displayed prompt analgesic effect on injection followed by immediate rocuronium administration, peripheral analgesia of opioid may be suspected more prominently.",I,opioids delayed onset displayed prompt analgesic injection rocuronium administration peripheral analgesia opioid suspected prominently,C0242402|C0205421|C0206132|C0870432|C0871157|C0002771|C0021485|C0209337|C0001554|C0205100|C0002766|C0242402|C0332147|G0000000
58,5 |||  ||| 0.5 ||| Objective: The aim of this study was to compare the effects of pretreatment with hydromorphone in reducing rocuronium-induced withdrawal movements and hemodynamic changes during tracheal intubation with the effects of fentanyl and normal saline.,P,objective aim study compare effects pretreatment hydromorphone reducing rocuronium-induced withdrawal movements hemodynamic tracheal intubation effects fentanyl normal saline,C0018017|C1947946|C0557651|C1707455|C1280500|C1550147|C0012306|C0392756|C0209337|C2349954|C0026649|C0019010|C0040578|C0021925|C1280500|C0015846|C0205307|C0036082
59,56 ||| Statistical Analysis ||| 2.7 ||| P value was corrected by Bonferroni adjustment because of multiple testing.,N,corrected bonferroni adjustment multiple testing,C0205202|G0000000|C0376209|C0439064|C0039593
60,"119 ||| ACKNOWLEDGMENTS ||| 5.7 ||| Suk Young Lee designed, performed the study, data analysis, revising and final approval of the article.",N,suk lee designed performed study data analysis revising final approval article,C1556071|G0000000|C1707689|C0884358|C0557651|C1511726|C0002778|C1527075|C0205088|C0205540|C1706852
61,"24 ||| PATIENTS AND METHODS ||| 1.8 ||| Random allocation of patients into 1 of 3 groups to receive 5 mL of either IV hydromorphone hydrochloride* 0.03 mg/kg (n ϭ 65) or IV fentanyl citrate 2 ␮g/kg (n ϭ 67; Gu Ju Pharm, Seoul, Korea) or IV saline (n ϭ 62; sodium chloride, Joong Wae Pharm, Seoul, Korea) was facilitated by using a computer-generated random number concealed in an envelope.",I,random allocation patients 1 3 receive 5 iv hydromorphone hydrochloride* 0 03 mg/kg 65 iv fentanyl citrate 2 g/kg 67 gu ju pharm seoul korea iv saline 62 sodium chloride joong wae pharm seoul korea facilitated computer-generated random concealed envelope,C0034656|C1706778|C0030705|G0000000|G0000000|C1514756|G0000000|C0022326|C0012306|C1512523|G0000000|C0450371|C0439272|C0450371|C0022326|C0015846|C0008857|G0000000|C1300563|C0450371|C3887515|G0000000|G0000000|C3850150|C0022771|C0022326|C0036082|C0450371|C0037473|C0008203|G0000000|G0000000|G0000000|C3850150|C0022771|G0000000|C0009622|C0034656|C0443189|C1622204
62,"51 ||| Statistical Analysis ||| 2.2 ||| The data are reported as mean (SD), median (interquartile range), or number (proportion) of patients.",O,data reported sd median interquartile range proportion patients,C1511726|C0684224|C2699239|C0549183|G0000000|C1514721|C1709707|C0030705
63,111 ||| CONCLUSIONS ||| 4.3 ||| These may be attributed both to central and peripheral antinociceptive effects of opioids.,N,attributed central peripheral antinociceptive effects opioids,C0449234|C0205099|C0205100|G0000000|C1280500|C0242402
64,"123 ||| ACKNOWLEDGMENTS ||| 5.11 ||| Incidence of patient movements, status of vocal cord relaxation during tracheal intubation, and intubation time.ϭ 1.0 *Intubation time was defined as the time from mouth opening to obtaining an appropriate capnographic trace.",O,incidence patient movements status vocal cord relaxation tracheal intubation intubation time 1 0 *intubation time defined time mouth obtaining capnographic trace,C0021149|C0030705|C0026649|C0449438|C0205382|C1550235|C0035028|C0040578|C0021925|C0021925|C0040223|G0000000|G0000000|C0021925|C0040223|C1704788|C0040223|C0226896|C1301820|C0376529|C0442822
65,"91 ||| DISCUSSION ||| 3.15 ||| However, patients in the saline group presented more movements during intubation than those in the hydromorphone and fentanyl groups.",I,patients saline movements intubation hydromorphone fentanyl,C0030705|C0036082|C0026649|C0021925|C0012306|C0015846
66,"41 ||| PATIENTS AND METHODS ||| 1.25 ||| The 2 investigators were educated beforehand to grade patients' responses according to the scale proposed by Shevchenko and colleagues 8  2 ϭ movement at the wrist only; 3 ϭ movement/withdrawal involving the arm only (elbow/shoulder); 4 ϭ generalized response, withdrawal or movement in more than 1 extremity.",O,2 investigators educated grade patients responses scale proposed shevchenko colleagues 8 2 movement wrist 3 movement/withdrawal involving arm elbow/shoulder 4 generalized response withdrawal movement 1 extremity,G0000000|C0035173|C0039401|C0441800|C0030705|C0871261|C0175659|C1553874|G0000000|G0000000|G0000000|G0000000|C0026649|C0043262|G0000000|C0026649|C1314939|C0446516|C0013769|G0000000|C0205246|C0871261|C2349954|C0026649|G0000000|C0015385
67,"109 ||| CONCLUSIONS ||| 4.1 ||| Compared with saline, hydromorphone produced immediate analgesia to rocuronium painϪinduced withdrawal movement and reduced hemodynamic responses to tracheal intubation.",O,compared saline hydromorphone produced analgesia rocuronium paininduced withdrawal movement reduced hemodynamic responses tracheal intubation,C1707455|C0036082|C0012306|G0000000|C0002766|C0209337|G0000000|C2349954|C0026649|C0392756|C0019010|C0871261|C0040578|C0021925
68,"60 ||| Statistical Analysis ||| 2.11 ||| At least 53 patients were required for each group to achieve a 30% reduction in the withdrawal movement at the significance level of 5% and power of 90%, and considering the possibility of unanticipated exclusions (10%).",N,53 patients required achieve 30% reduction withdrawal movement significance level 5% power 90% possibility unanticipated exclusions 10%,C0450371|C0030705|C1514873|G0000000|C0450371|C0301630|C2349954|C0026649|C0237881|C0441889|G0000000|C0032863|C0450371|C0332149|G0000000|C0680251|C0450371
69,61 ||| Statistical Analysis ||| 2.12 ||| P Ͻ 0.05 was considered significant.,N,0 05 considered,G0000000|C0450371|C0750591
70,77 ||| DISCUSSION ||| 3.1 ||| This study suggests that hydromorphone may be as effective as fentanyl as a pretreatment drug in reducing withdrawal movements due to rocuronium injection pain and inducing general anesthesia without delay.,O,study suggests hydromorphone effective fentanyl pretreatment drug reducing withdrawal movements rocuronium injection pain inducing anesthesia delay,C0557651|C1705535|C0012306|C1280519|C0015846|C1550147|C0013227|C0392756|C2349954|C0026649|C0209337|C0021485|C0030193|C0205263|C0002903|C0205421
71,3 |||  ||| 0.3 ||| The opioid receptors are known to be present in peripheral sensory nerve terminals as well as in the dorsal root ganglion and the central terminal of primary afferent nerves.,N,opioid receptors peripheral sensory nerve terminals dorsal root ganglion central terminal primary afferent nerves,C0242402|C0597357|C0205100|C0445254|C0027740|C0205088|C0205095|C0040452|C0017067|C0205099|C0205088|C0205225|C0205115|C0027740
72,"117 ||| ACKNOWLEDGMENTS ||| 5.5 ||| Tae Hyeong Kim was responsible for the conception, data collection, revising and final approval of the article.",N,tae hyeong kim responsible conception data collection revising final approval article,C3163695|G0000000|G0000000|C1273518|C0009637|C1511726|C1516698|C1527075|C0205088|C0205540|C1706852
73,110 ||| CONCLUSIONS ||| 4.2 ||| These findings were comparable with pretreatment with fentanyl.,O,findings comparable pretreatment fentanyl,C2607943|G0000000|C1550147|C0015846
