id,sentences,label,sentences_tokens,cuis
10,26 ||| Inclusion Criteria ||| 3.5 ||| Gestational age 34-42 weeks 3.,P,gestational age 34-42 weeks 3,C0439671|C0001779|C0450371|C0439230|G0000000
11,62 ||| Discussion ||| 4.29 ||| In vaginal group four patients required maximum dose (4 doses).,I,vaginal patients required maximum dose 4 doses,C0042232|C0030705|C1514873|C0806909|C0178602|G0000000|C0178602
12,55 ||| Discussion ||| 4.22 ||| All five babies had APGAR score\7.,N,babies apgar score7,C0021270|C0741195|G0000000
13,"56 ||| Discussion ||| 4.23 ||| The five patients who required LSCS, indications were 1.",P,patients required lscs indications 1,C0030705|C1514873|C1332110|C0392360|G0000000
14,52 ||| Discussion ||| 4.19 ||| In oral group ten patients required maximum dose (4 doses).,I,oral ten patients required maximum dose 4 doses,C0442027|C0014518|C0030705|C1514873|C0806909|C0178602|G0000000|C0178602
15,32 ||| Inclusion Criteria ||| 3.11 ||| Reactive non stress test.,P,reactive stress test,C0205332|C0038435|C0022885
16,54 ||| Discussion ||| 4.21 ||| No significant side effect seen.,N,NULL,NULL
17,14 ||| Materials and Methods ||| 2.5 ||| Failure of induction was declared if patient failed to go in active phase of labour within 24 h of induction.,N,failure induction declared patient failed active phase labour 24 induction,C0231174|C0205263|G0000000|C0030705|C0231175|C0205177|C0205390|C0022864|C0450371|C0205263
18,10 ||| Materials and Methods ||| 2.1 ||| Amniotomy was done at cervical dilatation of 4 cm and further doses of misoprostol withheld.,N,amniotomy cervical dilatation 4 cm doses misoprostol withheld,G0000000|C0027530|C0012359|G0000000|G0000000|C0178602|C0085174|G0000000
19,40 ||| Discussion ||| 4.7 ||| The results of this study show that vaginal route of administration of misoprostol is preferable to oral route when used in equivalent dosage.,N,study vaginal route administration misoprostol preferable oral route equivalent dosage,C0557651|C0042232|C0013153|C0001554|C0085174|G0000000|C0442027|C0013153|C0205163|C0178602
20,18 ||| Materials and Methods ||| 2.9 ||| Ethical committee approval was taken and in July 2010.,N,ethical committee approval july 2010,C0026531|C2699414|C0205540|C3829447|G0000000
21,58 ||| Discussion ||| 4.25 ||| Fetal distress-1 case 3.,N,fetal distress-1 3,C0015965|C0231303|G0000000
22,37 ||| Discussion ||| 4.4 ||| Last menstrual period was ascertained and correlated clinically.,N,menstrual period ascertained correlated clinically,C0025344|C0439531|G0000000|C1707520|G0000000
23,2 ||| Introduction ||| 1.1 ||| Induction of labour is the artificial initiation of labour before its spontaneous onset for the purpose of delivery of the fetoplacental unit using mechanical or pharmacologic methods [1].,I,induction labour artificial initiation labour spontaneous onset purpose delivery fetoplacental unit mechanical pharmacologic methods 1,C0205263|C0022864|C2004457|C0589507|C0022864|C0205359|C0206132|C1285529|C0011209|G0000000|C0439148|C0443254|C0031330|C0025663|G0000000
24,"50 ||| Discussion ||| 4.17 ||| In vaginal group, out of 17 LSCS, 14 patients required LSCS for fetal distress which cannot be attributed to failure of drug, three patients had non progress of labour due to unforeseen cephalopelvic disproportion.",P,vaginal 17 lscs 14 patients required lscs fetal distress attributed failure drug patients progress labour unforeseen cephalopelvic disproportion,C0042232|C0450371|C1332110|C0450371|C0030705|C1514873|C1332110|C0015965|C0231303|C0449234|C0231174|C0013227|C0030705|C1272688|C0022864|G0000000|G0000000|C0341906
25,"23 ||| Inclusion Criteria ||| 3.2 ||| Both the groups were comparable with respect to the maternal age, gestational age, indication for induction and pre-induction modified Bishop's score (Tables 1, 2).",P,comparable respect maternal age gestational age indication induction pre-induction modified bishops score tables 1 2,G0000000|C0679133|C2347083|C0001779|C0439671|C0001779|C0392360|C0205263|C0332152|C0392747|C0649610|C0449820|C0039224|G0000000|G0000000
26,"42 ||| Discussion ||| 4.9 ||| Similar were observations of Rozina Rasheed et al., Wing DA et al.",N,observations rozina rasheed al wing da al,C0302523|G0000000|G0000000|C0202311|C0043189|C0011318|C0202311
27,48 ||| Discussion ||| 4.15 ||| Three patients in Group A had LSCS due to non progress of labour due to unforeseen cephalopelvic disproportion.,N,patients lscs progress labour unforeseen cephalopelvic disproportion,C0030705|C1332110|C1272688|C0022864|G0000000|G0000000|C0341906
28,1 |||  ||| 0.1 ||| Objective To compare the efficacy of oral with vaginal misoprostol for induction of labour.,P,objective compare efficacy oral vaginal misoprostol induction labour,C0018017|C1707455|C1280519|C0442027|C0042232|C0085174|C0205263|C0022864
29,"5 ||| Introduction ||| 1.4 ||| The new synthetic prostaglandian E1 analogue 'Misoprostol' licenced primarily for the prevention and treatment of non steroidal anti-inflammatory drug induced ulcers of gastrointestional tract, is a promising agent for labour induction [3][4][5].",P,synthetic prostaglandian e1 analogue misoprostol licenced prevention treatment steroidal anti-inflammatory drug induced ulcers gastrointestional tract promising agent labour induction 345,C1883254|G0000000|C1704625|C0243071|C0085174|C0023636|C0199176|C0039798|C0038317|C0003209|C0013227|C0205263|C0041582|G0000000|C1185740|C1555307|C0450442|C0022864|C0205263|C1442061
30,67 ||| Discussion ||| 4.34 ||| No significant side effect.,N,NULL,NULL
31,35 ||| Discussion ||| 4.2 ||| The Modified Bishop's score was determined.,I,modified bishops score determined,C0392747|C0649610|C0449820|G0000000
32,"45 ||| Discussion ||| 4.12 ||| Similar observations were observed by Rozina Rasheed et al., Wing DA et al.",N,observations observed rozina rasheed al wing da al,C0302523|C1441672|G0000000|G0000000|C0202311|C0043189|C0011318|C0202311
33,68 ||| Discussion ||| 4.35 ||| APGAR score of both babies [7.,N,apgar score babies 7,C0741195|C0449820|C0021270|G0000000
34,"44 ||| Discussion ||| 4.11 ||| The mean induction delivery interval was significantly less in vaginal group (P \ 0.0001, highly significant).",N,induction delivery interval vaginal 0 0001 highly,C0205263|C0011209|C1272706|C0042232|G0000000|G0000000|C0205250
35,65 ||| Discussion ||| 4.32 ||| All babies APGAR was [7.,N,babies apgar 7,C0021270|C0741195|G0000000
36,70 ||| Discussion ||| 4.37 ||| However fever and tachysystole were the most commonly seen side effects.,N,fever tachysystole commonly effects,C0015967|C2985339|G0000000|C1280500
37,57 ||| Discussion ||| 4.24 ||| Failed induction-3 cases 2.,N,failed induction-3 2,C0231175|C0205263|G0000000
38,"72 ||| Discussion ||| 4.39 ||| MAS (6 % in Group A and 11 % in Group B), 1 min APGAR score \7 (30 in Group A, 28 in Group B), NICU admissions (30 in Group A, 28 in Group B).",I,mas 6 % 11 % 1 min apgar score 7 30 28 nicu admissions 30 28,C1096155|G0000000|G0000000|C0450371|G0000000|G0000000|C0702093|C0741195|C0449820|G0000000|C0450371|C0450371|C0021709|C0184666|C0450371|C0450371
39,12 ||| Materials and Methods ||| 2.3 ||| Those patients who had contractions \3/10 min of \40 s duration were considered to be not in active labour.,N,patients contractions 3/10 min 40 duration considered active labour,C0030705|C1140999|C0450371|C0702093|C0450371|C0449238|C0750591|C0205177|C0022864
40,"75 ||| Conclusion ||| 6.1 ||| In conclusion, this study shows that for induction of labour, vaginal misoprostol is preferable to oral misoprostol when used in equivalent dosage of 50 mcg.",O,conclusion study induction labour vaginal misoprostol preferable oral misoprostol equivalent dosage 50 mcg,C1707478|C0557651|C0205263|C0022864|C0042232|C0085174|G0000000|C0442027|C0085174|C0205163|C0178602|C0450371|C0439211
41,25 ||| Inclusion Criteria ||| 3.4 ||| Primigravida 2.,N,primigravida 2,C0860096|G0000000
42,28 ||| Inclusion Criteria ||| 3.7 ||| Bishop's score B5,I,bishops score b5,C0649610|C0449820|C0005558
43,30 ||| Inclusion Criteria ||| 3.9 ||| Cephalic presentation 6.,N,cephalic presentation 6,C0205096|C0449450|G0000000
44,"66 ||| Discussion ||| 4.33 ||| Out of four patients, two required LSCS for fetal distress.",I,patients required lscs fetal distress,C0030705|C1514873|C1332110|C0015965|C0231303
45,"76 ||| Conclusion ||| 6.2 ||| In vaginal route of administration compared to oral route, the number of dosage required is less, induction delivery interval is less, less incidence of failed induction,",O,vaginal route administration compared oral route dosage required induction delivery interval incidence failed induction,C0042232|C0013153|C0001554|C1707455|C0442027|C0013153|C0178602|C1514873|C0205263|C0011209|C1272706|C0021149|C0231175|C0205263
46,"7 ||| Introduction ||| 1.6 ||| It is inexpensive, easily stored at room temperature and has few systemic side effects.",N,inexpensive easily stored temperature systemic effects,G0000000|C0332219|C1698986|C0005903|C0205373|C1280500
47,34 ||| Discussion ||| 4.1 ||| Exclusion,N,exclusion,C0680251
48,"17 ||| Materials and Methods ||| 2.8 ||| The study was conducted at GMCH, Aurangabad in the Department of obstetrics and Gynaecology from July 2010 to Dec 2011.",N,study conducted gmch aurangabad department obstetrics gynaecology july 2010 dec 2011,C0557651|C0004927|G0000000|G0000000|C1704729|C0028773|C0018417|C3829447|G0000000|C3843930|G0000000
49,31 ||| Inclusion Criteria ||| 3.10 ||| Clinically adequate pelvis 7.,N,clinically adequate pelvis 7,G0000000|C0205410|C0030797|G0000000
50,15 ||| Materials and Methods ||| 2.6 ||| Student's t test and chi-square test were used to statistically compare the two groups.,N,students test chi-square test statistically compare,C0038492|C0022885|C1552646|C0022885|C0038215|C1707455
51,73 ||| Discussion ||| 4.40 ||| Thus present study shows that the fetal outcome results were also comparable in both the groups.,O,study fetal outcome comparable,C0557651|C0015965|C1274040|G0000000
52,19 ||| Materials and Methods ||| 2.10 ||| The study population (n = 200) was a mixture of high and low risk population.,O,study population = 200 mixture low risk population,C0557651|C0032659|G0000000|C1442061|C0439962|C0205251|C0035647|C0032659
53,74 ||| Discussion ||| 4.41 ||| Neonatal outcome is comparable in both groups.,N,neonatal outcome comparable,C1552240|C1274040|G0000000
54,21 ||| Materials and Methods ||| 2.12 ||| Result,N,result,C1274040
55,22 ||| Inclusion Criteria ||| 3.1 ||| Group A and Group B had 100 randomised patients each.,N,100 randomised patients,C1442061|G0000000|C0030705
56,11 ||| Materials and Methods ||| 2.2 ||| Patient was started oxytocin augmentation if she had no progress of labour for 2 h on WHO partograph.,I,patient started oxytocin augmentation progress labour 2 partograph,C0030705|C1272689|C0030095|C1293122|C1272688|C0022864|G0000000|G0000000
57,"71 ||| Discussion ||| 4.38 ||| Fetal outcome data showed no significant difference between two groups with respect to birth weights (Group A 2,820 ± 377 g, Group B 2730 ± 447 g t = 1.53, P = 0.12 Not significant) ( Table 5).",O,fetal outcome data difference respect birth weights 2 820 377 2730 447 = 1 53 = 0 12 table 5,C0015965|C1274040|C1511726|C1705241|C0679133|C0005615|C0043100|G0000000|C1442061|C1442061|G0000000|C1442061|G0000000|G0000000|C0450371|G0000000|G0000000|C0450371|C0039224|G0000000
58,61 ||| Discussion ||| 4.28 ||| All babies had APGAR [7.,N,babies apgar 7,C0021270|C0741195|G0000000
59,"38 ||| Discussion ||| 4.5 ||| Demographic profile, gestational age, number of doses required, induction-delivery interval, mode of delivery and feto maternal outcome was noted.",P,demographic profile gestational age doses required induction-delivery interval mode delivery feto maternal outcome,C0011298|C1979963|C0439671|C0001779|C0178602|C1514873|C0205263|C1272706|C1513371|C0011209|C0521457|C2347083|C1274040
60,16 ||| Materials and Methods ||| 2.7 ||| Differences with a P value of \0.05 were considered statistically significant with the confidence limit of 95 % (Power of test 80 %).,N,differences 0 05 considered statistically confidence limit 95 % power test 80 %,C1705241|G0000000|C0450371|C0750591|C0038215|C0237529|C0439801|C0450371|G0000000|C0032863|C0022885|C0450371|G0000000
61,39 ||| Discussion ||| 4.6 ||| Patient was considered to be in active labour if she had painful uterine contractions of 3/10 min of [40 s duration.,P,patient considered active labour painful uterine contractions 3/10 min 40 duration,C0030705|C0750591|C0205177|C0022864|C0030193|C0042149|C1140999|C0450371|C0702093|C0450371|C0449238
62,63 ||| Discussion ||| 4.30 ||| Out of these two patients delivered vaginally.,I,patients delivered vaginally,C0030705|C1705822|G0000000
63,3 ||| Introduction ||| 1.2 ||| The success of labour induction depends on the cervical status at the time of induction.,O,success labour induction depends cervical status time induction,C0597535|C0022864|C0205263|C0725813|C0027530|C0449438|C0040223|C0205263
64,"59 ||| Discussion ||| 4.26 ||| Failure to progress-1 case Of this five patients one had nausea, one had dizziness and one had vomittings.",N,failure progress-1 patients nausea dizziness vomittings,C0231174|C1272688|C0030705|C0027497|C0012833|G0000000
65,46 ||| Discussion ||| 4.13 ||| In oral group 26 patients required LSCS of which 19 were due to fetal distress and one due to impending eclampsia.,I,oral 26 patients required lscs 19 fetal distress impending eclampsia,C0442027|C0450371|C0030705|C1514873|C1332110|C0450371|C0015965|C0231303|C0332190|C0013537
66,49 ||| Discussion ||| 4.16 ||| Only three patients in oral group had undergone LSCS due to failed induction.,P,patients oral undergone lscs failed induction,C0030705|C0442027|G0000000|C1332110|C0231175|C0205263
67,64 ||| Discussion ||| 4.31 ||| No significant side effects.,N,effects,C1280500
68,4 ||| Introduction ||| 1.3 ||| It is generally predicted that the patients with a poor Bishop's score B3 have unacceptably higher rates of failure of induction [2].,N,predicted patients poor bishops score b3 unacceptably rates failure induction 2,C0681842|C0030705|C0032854|C0649610|C0449820|C0005558|G0000000|C0871208|C0231174|C0205263|G0000000
69,69 ||| Discussion ||| 4.36 ||| Oxytocin augmentation was more in patients with poor bishops score (Table 4) side effects of misoprostol in both groups were not significant.,I,oxytocin augmentation patients poor bishops score table 4 effects misoprostol,C0030095|C1293122|C0030705|C0032854|C0649610|C0449820|C0039224|G0000000|C1280500|C0085174
70,"20 ||| Materials and Methods ||| 2.11 ||| Patients at term with various indications for induction of labour were included in the study after a written, valid consent.",P,patients term indications induction labour included study written valid consent,C0030705|C0233324|C0392360|C0205263|C0022864|C0332257|C0557651|C0043266|C2349099|C1511481
71,24 ||| Inclusion Criteria ||| 3.3 ||| Mean pre induction Bishop's score in oral group was 3.09 ± 0.692 and in vaginal group was 3.17 ± 0.721.,I,pre induction bishops score oral 3 09 0 692 vaginal 3 17 0 721,C0332152|C0205263|C0649610|C0449820|C0442027|G0000000|C0450371|G0000000|C1442061|C0042232|G0000000|C0450371|G0000000|C1442061
72,53 ||| Discussion ||| 4.20 ||| Out of these five patients delivered vaginally.,I,patients delivered vaginally,C0030705|C1705822|G0000000
73,"6 ||| Introduction ||| 1.5 ||| Misoprostol is conveniently administered through the oral, sublingual, buccal, vaginal and rectal routes [6].",I,misoprostol conveniently administered oral sublingual buccal vaginal rectal routes 6,C0085174|G0000000|C1521801|C0442027|C0001565|C0442010|C0042232|C0205052|C0449444|G0000000
74,"41 ||| Discussion ||| 4.8 ||| The mean number of dosage of misoprostol required for successful labour induction was 2.73 ± 0.58 in the oral group and 2.26 ± 0.52 in vaginal group (P value \ 0.0001, highly significant) ( Table 2).",I,dosage misoprostol required successful labour induction 2 73 0 58 oral 2 26 0 52 vaginal 0 0001 highly table 2,C0178602|C0085174|C1514873|C0597535|C0022864|C0205263|G0000000|C0450371|G0000000|C0450371|C0442027|G0000000|C0450371|G0000000|C0450371|C0042232|G0000000|G0000000|C0205250|C0039224|G0000000
75,60 ||| Discussion ||| 4.27 ||| But the side effects were not severe enough to stop the drug.,N,effects severe drug,C1280500|C0205082|C0013227
