id,sentences,label,sentences_tokens,cuis
10,108 ||| Supplementary Material ||| 26.10 ||| There were no significant differences in baseline characteristics between the two groups.,O,differences baseline characteristics,C1705241|C0168634|C1521970
11,12 ||| METHODS ||| 2.3 ||| The protocol was approved by the institutional review board at each hospital and is available with the full text of this article at NEJM.org.,N,protocol approved institutional review board hospital text article nejm org,C0442711|C0205540|C0018704|C0282443|C0972401|C0019994|C1527021|C1706852|G0000000|C1522486
12,"21 ||| Author Manuscript ||| 3.4 ||| Details of the certification and monitoring process are provided in the Supplementary Appendix, available at NEJM.org; guidelines for the management of labor on the basis of fetal ECG analysis are summarized in Table 1, and Figure S1 in the Supplementary Appendix.",I,details certification monitoring process provided supplementary appendix nejm org guidelines management labor basis fetal ecg analysis summarized table 1 figure s1 supplementary appendix,C1522508|C0007836|C0150369|C1184743|C1999230|G0000000|C0003617|G0000000|C1522486|C0162791|C0001554|C0022864|C1527178|C0015965|C1623258|C0002778|G0000000|C0039224|G0000000|G0000000|C1519428|G0000000|C0003617
13,119 ||| Acknowledgments ||| 27.11 ||| Interquartile range 9-9 9-9,I,interquartile range 9-9 9-9,G0000000|C1514721|G0000000|G0000000
14,113 ||| Acknowledgments ||| 27.5 ||| Interquartile range 9-9 9-9,I,interquartile range 9-9 9-9,G0000000|C1514721|G0000000|G0000000
15,2 ||| Author Manuscript ||| 1.1 ||| CONCLUSIONS-Fetal ECG ST-segment analysis used as an adjunct to conventional intrapartum electronic fetal heart-rate monitoring did not improve perinatal outcomes or decrease operative-delivery rates.,O,conclusions-fetal ecg st-segment analysis adjunct conventional intrapartum electronic fetal heart-rate monitoring improve perinatal outcomes decrease operative-delivery rates,C1707478|C1623258|C0429029|C0002778|G0000000|C0439858|C0456337|C0013850|C0015965|C0018810|C0150369|G0000000|C0178795|C1274040|C0392756|C1882154|C0871208
16,"75 ||| Author Manuscript ||| 18.8 ||| In 95 cases (3.9%), expeditious delivery did not occur when recommended, and in 68 cases (2.8%), delivery was expedited when the guidelines indicated that continued observation was warranted.",O,95 3 9% expeditious delivery occur recommended 68 2 8% delivery expedited guidelines continued observation warranted,C0450371|G0000000|G0000000|C0015315|C0011209|C1709305|C0034866|C0450371|G0000000|G0000000|C0011209|C2348483|C0162791|C0549178|C0302523|G0000000
17,"45 ||| Author Manuscript ||| 10.1 ||| Maternal secondary outcomes were cesarean delivery (with indication), forceps or vacuumassisted delivery, chorioamnionitis, maternal blood transfusion, duration of labor after randomization, shoulder dystocia, postpartum endometritis, and length of hospital stay.",O,maternal secondary outcomes cesarean delivery indication forceps vacuumassisted delivery chorioamnionitis maternal blood transfusion duration labor randomization shoulder dystocia postpartum endometritis length hospital stay,C2347083|C0027627|C1274040|C3841297|C0011209|C0392360|C0016533|G0000000|C0011209|C0008495|C2347083|C0005767|C0005841|C0449238|C0022864|C0034656|C0037004|C0013418|C0086839|C0014179|C1444754|C0019994|G0000000
18,"7 ||| Author Manuscript ||| 1.6 ||| Initial FDA approval was based primarily on European studies 7-9 that suggested that fetal ST-segment analysis technology reduced the rates of neonatal encephalopathy, acidemia, and operative delivery.",O,initial fda approval based european studies 7-9 suggested fetal st-segment analysis technology reduced rates neonatal encephalopathy acidemia operative delivery,C0205265|C0041714|C0205540|C1527178|C0239307|C0947630|G0000000|C1705535|C0015965|C0429029|C0002778|C0039421|C0392756|C0871208|C1552240|C0006111|C0001122|C1882154|C0011209
19,23 ||| Author Manuscript ||| 4.2 ||| No other personnel had access to the software or were able to adjust the monitors.,I,personnel access software adjust monitors,C0024752|C0444454|C0037585|G0000000|C0181904
20,"17 ||| METHODS ||| 2.8 ||| The first, second, third, and fifth authors take responsibility for the fidelity of the report to the study protocol and for the accuracy and completeness of the reported data.",N,authors responsibility fidelity report study protocol accuracy completeness reported data,C3812881|C0678341|C0680011|C0684224|C0557651|C0442711|C0443131|C0439812|C0684224|C1511726
21,"4 ||| Author Manuscript ||| 1.3 ||| Despite decades of use and an associated rise in cesarean-delivery rates based at least in part on nonreassuring fetal heart-rate patterns, evidence that such monitoring has reduced the rate of hypoxia-induced neonatal encephalopathy is lacking.",O,decades rise cesarean-delivery rates based nonreassuring fetal heart-rate patterns evidence monitoring reduced rate hypoxia-induced neonatal encephalopathy lacking,C2981279|G0000000|C0007876|C0871208|C1527178|G0000000|C0015965|C0018810|C0449774|C3887511|C0150369|C0392756|C0871208|C0242184|C1552240|C0006111|C0332268
22,3 ||| Author Manuscript ||| 1.2 ||| CONTINUOUS INTRAPARTUM FETAL heart-rate monitoring has caused considerable controversy in obstetrics.,N,continuous intrapartum fetal heart-rate monitoring caused considerable controversy obstetrics,C0549178|C0456337|C0015965|C0018810|C0150369|C0015127|G0000000|C0680243|C0028773
23,19 ||| Author Manuscript ||| 3.2 ||| All participating care providers and research personnel were trained and certified in the correct use of the fetal ECG ST-segment analysis system to a level exceeding FDA requirements.,P,participating care providers personnel trained certified correct fetal ecg st-segment analysis system level exceeding fda requirements,C0679823|C1947933|C1138603|C0024752|C0336809|C0007836|C2349182|C0015965|C1623258|C0429029|C0002778|C0449913|C0441889|G0000000|C0041714|C1514873
24,93 ||| Author Manuscript ||| 23.5 ||| This is far lower than the hypothesized effect and may be of questionable clinical significance.,N,lower hypothesized questionable clinical significance,C0441994|G0000000|C0332241|C0205210|C0237881
25,64 ||| OUTCOMES ||| 17.1 ||| Valid umbilical-cord blood gas measurements were obtained for 96.5% of all neonates.,N,valid umbilical-cord blood gas measurements 96 5% neonates,C2349099|C0041633|C0005767|C0017110|C0242485|C0450371|G0000000|C0021289
26,"77 ||| Author Manuscript ||| 18.10 ||| Even if the 5 cases were recoded as not associated with a primary outcome, there would be no significant difference between the two groups (P = 0.43).",O,5 recoded primary outcome difference = 0 43,G0000000|G0000000|C0205225|C1274040|C1705241|G0000000|G0000000|C0450371
27,"65 ||| OUTCOMES ||| 17.2 ||| The primary outcome occurred in 52 neonates (0.9%) of patients in the open group and in 40 neonates (0.7%) of patients in the masked group (relative risk, 1.31; 95% confidence interval, 0.87 to 1.98; P = 0.20) (Table 3).",O,primary outcome occurred 52 neonates 0 9% patients 40 neonates 0 7% patients masked relative risk 1 31 95% confidence interval 0 87 1 98 = 0 20 table 3,C0205225|C1274040|C1709305|C0450371|C0021289|G0000000|G0000000|C0030705|C0450371|C0021289|G0000000|G0000000|C0030705|C0150108|C0080103|C0035647|G0000000|C0450371|C0450371|C0237529|C1272706|G0000000|C0450371|G0000000|C0450371|G0000000|G0000000|C0450371|C0039224|G0000000
28,"71 ||| Author Manuscript ||| 18.4 ||| Adverse events related to the ST-segment monitoring were rare, and the rates of individual adverse events were similar in the two groups (Table S1 in the Supplementary Appendix).",O,adverse events st-segment monitoring rare rates individual adverse events table s1 supplementary appendix,G0000000|C0441471|C0429029|C0150369|C0521114|C0871208|C0027361|G0000000|C0441471|C0039224|C1519428|G0000000|C0003617
29,"49 ||| Author Manuscript ||| 12.1 ||| We performed an intention-to-treat analysis, in which patients were included in the group to which they had been randomly assigned, regardless of the completeness of ST-segment monitoring or provider adherence to the protocol.",I,performed intention-to-treat analysis patients included randomly assigned completeness st-segment monitoring provider adherence protocol,C0884358|C0162425|C0002778|C0030705|C0332257|G0000000|C1516050|C0439812|C0429029|C0150369|C1138603|C1510802|C0442711
30,"52 ||| Author Manuscript ||| 12.4 ||| Interaction tests in prespecified subgroups (category I vs. category II fetal heart-rate tracing at baseline, multiparous vs. nulliparous status, center, enrollment before vs. after the midpoint of recruitment for each site, and race or ethnic group) and in post hoc subgroups (induced vs. spontaneous labor and baseline cervical dilation of 2 to 5 cm vs. 6 to 7 cm) were conducted with the use of the Breslow-Day method for the following end points: primary outcome, cesarean delivery, and any operative delivery (cesarean and operative vaginal delivery combined).",O,interaction tests prespecified subgroups category category ii fetal heart-rate tracing baseline multiparous nulliparous status center enrollment midpoint recruitment site race ethnic post hoc subgroups induced spontaneous labor baseline cervical dilation 2 5 cm 6 7 cm conducted breslow-day method primary outcome cesarean delivery operative delivery cesarean operative vaginal delivery combined,C1704675|C0022885|G0000000|C1079230|C0683312|C0683312|G0000000|C0015965|C0018810|G0000000|C0168634|C0026751|C0425979|C0449438|C0205099|C1516879|G0000000|C2949735|C0205145|C0034510|C0015031|C0687676|G0000000|C1079230|C0205263|C0205359|C0022864|C0168634|C0027530|C0012359|G0000000|G0000000|G0000000|G0000000|G0000000|G0000000|C0004927|C1511325|C0025663|C0205225|C1274040|C3841297|C0011209|C1882154|C0011209|C3841297|C1882154|C0042232|C0011209|C0205195
31,79 ||| Author Manuscript ||| 18.12 ||| An as-treated analysis in which patients for whom ST-segment analysis guidelines were not followed were included with the masked group did not reveal any significant differences between the groups (Table S3 in,N,as-treated analysis patients st-segment analysis guidelines included masked reveal differences table s3,C0004340|C0002778|C0030705|C0429029|C0002778|C0162791|C0332257|C0150108|C0443289|C1705241|C0039224|C1519428
32,"74 ||| Author Manuscript ||| 18.7 ||| Among the 2427 women assigned to the open group whose fetus' tracings were reviewed, 163 (6.7%) were determined not to have received care according to ST-segment analysis guidelines.",I,2427 women assigned fetus tracings reviewed 163 6 7% determined received care st-segment analysis guidelines,G0000000|C0043210|C1516050|C0015965|G0000000|C0282443|C1442061|G0000000|G0000000|G0000000|C1514756|C1947933|C0429029|C0002778|C0162791
33,"11 ||| METHODS ||| 2.2 ||| The study, which consisted of a pilot phase and the randomized trial, was conducted at 16 university-based clinical centers -each comprising 1 to 5 delivery hospitals (26 total) -in the Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD) Maternal-Fetal Medicine Units (MFMU) Network.",P,study consisted pilot phase randomized trial conducted 16 university-based clinical centers -each comprising 1 5 delivery hospitals 26 total -in eunice kennedy shriver national institute child health human development nichd maternal-fetal medicine units mfmu network,C0557651|C0332529|C0473169|C0205390|C0034656|C0008976|C0004927|C0450371|C0041740|C0205210|C0205099|G0000000|C2700400|G0000000|G0000000|C0011209|C0019994|C0450371|C0439175|G0000000|C1029979|G0000000|G0000000|C3245503|C0021622|C0008059|C0018684|C0086418|C0243107|C1513896|C0545509|C0013227|C0439148|G0000000|C0150775
34,51 ||| Author Manuscript ||| 12.3 ||| Relative risks and 95% confidence intervals were calculated.,N,relative risks 95% confidence intervals calculated,C0080103|C0035647|C0450371|C0237529|C1272706|C0444686
35,25 ||| Author Manuscript ||| 5.1 ||| TRIAL PROTOCOL,N,trial protocol,C0008976|C0442711
36,"58 ||| Author Manuscript ||| 15.2 ||| Recruitment to the pilot study started in April 2010; by April 2013, a total of 26 hospitals were authorized to start the randomized trial.",P,recruitment pilot study started april 2010 april 2013 total 26 hospitals authorized start randomized trial,C2949735|C0473169|C0557651|C1272689|C3715024|G0000000|C3715024|G0000000|C0439175|C0450371|C0019994|C1524004|C0439659|C0034656|C0008976
37,"60 ||| Author Manuscript ||| 15.4 ||| A total of 43,376 women were screened for inclusion, of whom 18,456 did not meet eligibility criteria, 13,812 declined participation, and 11,108 were randomly assigned to the open group (5532 women) or the masked group (5576 women) (Fig.",P,total 43 376 women screened inclusion 18 456 meet eligibility criteria 13 812 declined participation 11 108 randomly assigned 5532 women masked 5576 women fig,C0439175|C0450371|C1442061|C0043210|C0220908|C0007637|C0450371|C1442061|C1550543|C0013893|C0243161|C0450371|C1442061|G0000000|C0679823|C0450371|C1442061|G0000000|C1516050|G0000000|C0043210|C0150108|G0000000|C0043210|C0349966
38,"61 ||| Author Manuscript ||| 15.5 ||| A total of 85 women discontinued open or masked ST-segment monitoring before delivery; however, outcome data were obtained for all women and their neonates.",N,total 85 women discontinued masked st-segment monitoring delivery outcome data women neonates,C0439175|C0450371|C0043210|C1444662|C0150108|C0429029|C0150369|C0011209|C1274040|C1511726|C0043210|C0021289
39,"44 ||| Author Manuscript ||| 8.6 ||| The primary outcome was a composite of intrapartum fetal death, neonatal death, an Apgar score of 3 or less at 5 minutes, neonatal seizure, an umbilical-artery blood pH of 7.05 or less with a base deficit of 12 mmol per liter or more, intubation for ventilation at delivery, or neonatal encephalopathy.",O,primary outcome composite intrapartum fetal death neonatal death apgar score 3 5 minutes neonatal seizure umbilical-artery blood ph 7 05 base deficit 12 mmol liter intubation ventilation delivery neonatal encephalopathy,C0205225|C1274040|C0205199|C0456337|C0015965|C0011065|C1552240|C0011065|C0741195|C0449820|G0000000|G0000000|C0439232|C1552240|C0036572|C0041632|C0005767|C0450407|G0000000|C0450371|C0002055|C0162429|C0450371|C0439190|C0475211|C0021925|C0035203|C0011209|C1552240|C0006111
40,"27 ||| Author Manuscript ||| 5.3 ||| The main exclusion criteria were noncephalic presentation, planned cesarean delivery, a need for immediate delivery, absent fetal heart-rate variability (amplitude range undetectable) or a sinusoidal pattern, minimal fetal heart-rate variability in the 20 minutes before randomization, or other fetal or maternal conditions that would preclude a trial of labor or the placement of a scalp electrode.",P,main exclusion criteria noncephalic presentation planned cesarean delivery delivery absent fetal heart-rate variability amplitude range undetectable sinusoidal pattern minimal fetal heart-rate variability 20 minutes randomization fetal maternal conditions preclude trial labor placement scalp electrode,C0205225|C0680251|C0243161|G0000000|C0449450|C1301732|C3841297|C0011209|C0011209|C0332197|C0015965|C0018810|C2827666|C2346753|C1514721|C3827727|C0442041|C0449774|C0547040|C0015965|C0018810|C2827666|C0450371|C0439232|C0034656|C0015965|C2347083|C0012634|G0000000|C0008976|C0022864|C0441587|C0036270|C0013812
41,54 ||| Author Manuscript ||| 12.6 ||| An independent data and safety monitoring committee monitored the trial for safety and trial performance.,N,independent data safety monitoring committee monitored trial safety trial performance,C0085862|C1511726|C0036043|C0150369|C2699414|C0030695|C0008976|C0036043|C0008976|C0597198
42,15 ||| METHODS ||| 2.6 ||| The study was supported by the NICHD and by funding from the manufacturer (Neoventa Medical).,N,study supported nichd funding manufacturer neoventa medical,C0557651|C1521721|C1513896|C0243098|C0947322|G0000000|C0199168
43,"46 ||| Author Manuscript ||| 10.2 ||| Neonatal secondary outcomes were individual components of the primary outcome, Apgar score at 5 minutes, umbilical-artery blood gas results, and admission to the intermediate care nursery or neonatal intensive care unit.",I,neonatal secondary outcomes individual components primary outcome apgar score 5 minutes umbilical-artery blood gas admission intermediate care nursery neonatal intensive care unit,C1552240|C0027627|C1274040|C0027361|C0449432|C0205225|C1274040|C0741195|C0449820|G0000000|C0439232|C0041632|C0005767|C0017110|C0184666|C0205103|C1947933|C0028659|C1552240|C0162425|C1947933|C0439148
44,"8 ||| Author Manuscript ||| 1.7 ||| However, the relevance of these results to usual obstetrical practice is unclear, given inconsistent findings among published trials and questions about eligibility criteria, choice and definition of primary outcomes, and intrapartum management, as discussed by Øian and Blix 10 and Steer and Hvidman.",P,relevance usual obstetrical practice unclear inconsistent findings published trials questions eligibility criteria choice definition primary outcomes intrapartum management discussed ian blix 10 steer hvidman,C2347946|C3538928|C0028773|C0237607|G0000000|C0442809|C2607943|C0034037|C0008976|C1522634|C0013893|C0243161|C0008300|C1550452|C0205225|C1274040|C0456337|C0001554|C2584313|G0000000|G0000000|C0450371|C0553654|G0000000
45,"92 ||| Author Manuscript ||| 23.4 ||| However, the lower boundary of the 95% confidence interval for the relative risk of the primary outcome was 0.87, implying at best a reduction of 13% in the open group.",O,lower boundary 95% confidence interval relative risk primary outcome 0 87 implying reduction 13%,C0441994|G0000000|C0450371|C0237529|C1272706|C0080103|C0035647|C0205225|C1274040|G0000000|C0450371|G0000000|C0301630|C0450371
46,"47 ||| STATISTICAL ANALYSIS ||| 11.1 ||| We calculated that a sample size of 11,000 patients would give the study more than 85% power to detect a 40% reduction in the primary outcome in the open group, assuming a rate of 1.75% in the masked group (derived from a previous MFMU Network randomized trial involving women in labor at term), at a two-sided type I error rate of 5%.",I,calculated sample size 11 000 patients study 85% power detect 40% reduction primary outcome assuming rate 1 75% masked derived previous mfmu network randomized trial involving women labor term two-sided type error rate 5%,C0444686|C0370003|C0456389|C0450371|C1442061|C0030705|C0557651|C0450371|C0032863|C0442726|C0450371|C0301630|C0205225|C1274040|G0000000|C0871208|G0000000|C0450371|C0150108|C1441547|C0205156|G0000000|C0150775|C0034656|C0008976|C1314939|C0043210|C0022864|C0233324|C0205448|C0332307|C0743559|C0871208|G0000000
47,"48 ||| STATISTICAL ANALYSIS ||| 11.2 ||| Given a cesareandelivery rate for nonreassuring fetal status as low as 5%, there was adequate power (88%) to detect a 25% reduction in cesarean delivery for this specific indication.",I,cesareandelivery rate nonreassuring fetal status low 5% adequate power 88% detect 25% reduction cesarean delivery specific indication,G0000000|C0871208|G0000000|C0015965|C0449438|C0205251|G0000000|C0205410|C0032863|C0450371|C0442726|C0450371|C0301630|C3841297|C0011209|C0205369|C0392360
48,101 ||| Supplementary Material ||| 26.3 ||| ECG denotes electrocardiographic.,N,ecg denotes electrocardiographic,C1623258|G0000000|C0013798
49,10 ||| METHODS ||| 2.1 ||| STUDY DESIGN AND OVERSIGHT,N,study design oversight,C0557651|C1707689|C1273870
50,43 ||| Author Manuscript ||| 8.5 ||| PRIMARY OUTCOME,N,primary outcome,C0205225|C1274040
51,102 ||| Supplementary Material ||| 26.4 ||| Author,N,author,C3812881
52,115 ||| Acknowledgments ||| 27.7 ||| Apgar score at 5 min Median 9 9 0.54,I,apgar score 5 min median 9 9 0 54,C0741195|C0449820|G0000000|C0702093|C0549183|G0000000|G0000000|G0000000|C0450371
53,"18 ||| Author Manuscript ||| 3.1 ||| CERTIFICATION, TRAINING, AND PILOT PHASE",I,certification training pilot phase,C0007836|C0040607|C0473169|C0205390
54,"22 ||| Author Manuscript ||| 4.1 ||| Once a hospital was approved to participate in the randomized trial, the independent data coordinating center sent a software card containing the encrypted randomization module to the designated local biomedical technician to be installed on the S31 monitors at that hospital.",N,hospital approved participate randomized trial independent data coordinating center software card encrypted randomization module designated local biomedical technician installed s31 monitors hospital,C0019994|C0205540|G0000000|C0034656|C0008976|C0085862|C1511726|C0427184|C0205099|C0037585|C3275277|C1707909|C0034656|C1709061|C1524084|C0205276|C1879848|C1556020|G0000000|G0000000|C0181904|C0019994
55,59 ||| Author Manuscript ||| 15.3 ||| Recruitment to the trial began in November 2010 and ended in March 2014.,N,recruitment trial november 2010 march 2014,C2949735|C0008976|C3828767|G0000000|C3829202|G0000000
56,"55 ||| Author Manuscript ||| 12.7 ||| The committee did not review interim data on the primary outcome; therefore, no adjustment to the type I error rate was necessary.",N,committee review interim data primary outcome adjustment type error rate,C2699414|C0282443|C2827738|C1511726|C0205225|C1274040|C0376209|C0332307|C0743559|C0871208
57,85 ||| DISCUSSION ||| 20.5 ||| A similar result is true for operative vaginal delivery.,O,result true operative vaginal delivery,C1274040|C0205238|C1882154|C0042232|C0011209
58,"110 ||| Acknowledgments ||| 27.2 ||| We thank Kim Hill, R.N., B.S.N., and Ashley Salazar, R.N., M.S.N., W.H.N.P., for assistance with protocol development and coordination between clinical research centers; Steven J. Weiner, M.S., for protocol development, data management, and statistical analysis; and Michael W. Varner, M.D., and Catherine Y. Spong, M.D., for protocol development, oversight, and outcome review.",O,kim hill ashley salazar assistance protocol development coordination clinical centers steven weiner protocol development data management statistical analysis michael varner catherine spong protocol development oversight outcome review,G0000000|C0442532|G0000000|G0000000|C0018896|C0442711|C0243107|C0242414|C0205210|C0205099|G0000000|G0000000|C0442711|C0243107|C1511726|C0001554|C0038215|C0002778|G0000000|G0000000|G0000000|G0000000|C0442711|C0243107|C1273870|C1274040|C0282443
59,114 ||| Acknowledgments ||| 27.6 ||| Neonatal,N,neonatal,C1552240
60,"66 ||| OUTCOMES ||| 17.3 ||| The groups did not differ significantly with respect to the incidences of individual components of the primary outcome, with one exception: the frequency of an Apgar score of 3 or less at 5 minutes was higher among neonates of patients in the open group than among neonates of patients in the masked group (0.3% vs. 0.1%; P = 0.02).",O,respect incidences individual components primary outcome exception frequency apgar score 3 5 minutes neonates patients neonates patients masked 0 3% 0 1% = 0 02,C0679133|C0021149|C0027361|C0449432|C0205225|C1274040|C1554961|C0376249|C0741195|C0449820|G0000000|G0000000|C0439232|C0021289|C0030705|C0021289|C0030705|C0150108|G0000000|G0000000|G0000000|G0000000|G0000000|G0000000|C0450371
61,32 ||| Author Manuscript ||| 6.4 ||| The masked S31 monitors functioned as conventional electronic fetal heart-rate monitors.,I,masked s31 monitors functioned conventional electronic fetal heart-rate monitors,C0150108|G0000000|C0181904|C0031843|C0439858|C0013850|C0015965|C0018810|C0181904
62,"109 ||| Acknowledgments ||| 27.1 ||| Supported by grants (HD34208, HD53097, HD40545, HD40560, HD27869, HD40485, HD40512, HD27915, HD40544, HD40500, HD68282, HD68268, HD27917, HD21410, and HD36801) from the NICHD and by funding from Neoventa Medical.",N,supported grants hd34208 hd53097 hd40545 hd40560 hd27869 hd40485 hd40512 hd27915 hd40544 hd40500 hd68282 hd68268 hd27917 hd21410 hd36801 nichd funding neoventa medical,C1521721|C0018173|G0000000|G0000000|G0000000|G0000000|G0000000|G0000000|G0000000|G0000000|G0000000|G0000000|G0000000|G0000000|G0000000|G0000000|G0000000|C1513896|C0243098|G0000000|C0199168
63,39 ||| Author Manuscript ||| 8.1 ||| Paired arterial and venous umbilical-cord blood gas measurements were obtained from all neonates.,P,paired arterial venous umbilical-cord blood gas measurements neonates,C1709450|C0003842|C0042449|C0041633|C0005767|C0017110|C0242485|C0021289
64,76 ||| Author Manuscript ||| 18.9 ||| The primary outcome occurred in 5 of the 95 cases in which delivery did not occur as expeditiously as recommended and in 0 of the 68 in which delivery was expedited when not recommended.,O,primary outcome occurred 5 95 delivery occur expeditiously recommended 0 68 delivery expedited recommended,C0205225|C1274040|C1709305|G0000000|C0450371|C0011209|C1709305|G0000000|C0034866|G0000000|C0450371|C0011209|C2348483|C0034866
65,"95 ||| Author Manuscript ||| 23.7 ||| To be eligible for ST-segment analysis, patients must have cervical dilatation of at least 2 cm and have ruptured membranes.",P,eligible st-segment analysis patients cervical dilatation 2 cm ruptured membranes,C1548635|C0429029|C0002778|C0030705|C0027530|C0012359|G0000000|G0000000|C0443294|C0025255
66,88 ||| Author Manuscript ||| 21.2 ||| A reanalysis of the meta-analysis by Schuit et al.,N,reanalysis meta-analysis schuit al,G0000000|C0282458|G0000000|C0202311
67,"82 ||| DISCUSSION ||| 20.2 ||| Although our findings differ from those of two randomized trials, 8,9 they are in agreement with those of other randomized trials.",O,findings randomized trials 8 9 agreement randomized trials,C2607943|C0034656|C0008976|G0000000|G0000000|C0680240|C0034656|C0008976
68,90 ||| Author Manuscript ||| 23.2 ||| These differences could have influenced intrapartum care and may have contributed to differences between our results and those of European trials.,O,differences influenced intrapartum care contributed differences european trials,C1705241|G0000000|C0456337|C1947933|C1880177|C1705241|C0239307|C0008976
69,"97 ||| Author Manuscript ||| 23.9 ||| However, insofar as the clinical use of ST-segment analysis outside the trial would require the same eligibility criteria, we consider these results to be generalizable to clinical practice in the United States.",P,clinical st-segment analysis trial require eligibility criteria generalizable clinical practice united,C0205210|C0429029|C0002778|C0008976|G0000000|C0013893|C0243161|G0000000|C0205210|C0237607|C0166872
70,70 ||| Author Manuscript ||| 18.3 ||| There were no significant differences between groups in any secondary outcomes (Table 4).,O,differences secondary outcomes table 4,C1705241|C0027627|C1274040|C0039224|G0000000
71,28 ||| Author Manuscript ||| 5.4 ||| The full eligibility criteria are provided in the Supplementary Appendix.,P,eligibility criteria provided supplementary appendix,C0013893|C0243161|C1999230|G0000000|C0003617
72,"31 ||| Author Manuscript ||| 6.3 ||| Immediately after successful electrode placement resulting in an adequate ST-segment analysis signal, a researcher activated the randomization module, which then automatically set the S31 monitor into ""masked"" or ""open"" mode according to the internal preassigned randomization scheme.",I,successful electrode placement adequate st-segment analysis signal researcher activated randomization module automatically set s31 monitor masked mode internal preassigned randomization scheme,C0597535|C0013812|C0441587|C0205410|C0429029|C0002778|C1710082|C0035173|C1879547|C0034656|C1709061|C3842331|C0036849|G0000000|C0030695|C0150108|C1513371|C0205102|G0000000|C0034656|C1519193
73,"73 ||| Author Manuscript ||| 18.6 ||| S3, S4, and S5 in the Supplementary Appendix).",N,s3 s4 s5 supplementary appendix,C1519428|C1519428|C1519428|G0000000|C0003617
